Epoch 1 | T: 10s | Train: 4.1038 (2.4%) | Phys: 0.00 | Val: 4.3251 (3.59%) | Best: 3.59%
Epoch 2 | T: 10s | Train: 3.7169 (6.2%) | Phys: 0.00 | Val: 4.0630 (5.83%) | Best: 5.83%
Epoch 3 | T: 10s | Train: 3.5495 (8.5%) | Phys: 0.00 | Val: 3.9161 (8.83%) | Best: 8.83%
Epoch 4 | T: 10s | Train: 3.4411 (10.7%) | Phys: 0.00 | Val: 3.8087 (10.81%) | Best: 10.81%
Epoch 5 | T: 10s | Train: 3.3573 (12.3%) | Phys: 0.00 | Val: 3.7454 (12.26%) | Best: 12.26%
Epoch 6 | T: 9s | Train: 3.2945 (13.4%) | Phys: 0.00 | Val: 3.7299 (12.18%) | Best: 12.26%
Epoch 7 | T: 9s | Train: 3.2449 (14.3%) | Phys: 0.00 | Val: 3.6849 (13.83%) | Best: 13.83%
Epoch 8 | T: 9s | Train: 3.2033 (15.2%) | Phys: 0.00 | Val: 3.6110 (14.62%) | Best: 14.62%
Epoch 9 | T: 10s | Train: 3.1591 (16.0%) | Phys: 0.00 | Val: 3.5787 (15.28%) | Best: 15.28%
Epoch 10 | T: 9s | Train: 3.1201 (16.7%) | Phys: 0.00 | Val: 3.5512 (15.48%) | Best: 15.48%
Epoch 11 | T: 9s | Train: 3.0840 (17.4%) | Phys: 0.00 | Val: 3.5412 (15.89%) | Best: 15.89%
Epoch 12 | T: 9s | Train: 3.0531 (18.1%) | Phys: 0.00 | Val: 3.5075 (16.67%) | Best: 16.67%
Epoch 13 | T: 10s | Train: 3.0254 (18.7%) | Phys: 0.00 | Val: 3.4481 (17.31%) | Best: 17.31%
Epoch 14 | T: 9s | Train: 2.9919 (19.3%) | Phys: 0.00 | Val: 3.4622 (17.39%) | Best: 17.39%
Epoch 15 | T: 9s | Train: 2.9694 (19.8%) | Phys: 0.00 | Val: 3.4497 (17.77%) | Best: 17.77%
Epoch 16 | T: 10s | Train: 2.9415 (20.4%) | Phys: 0.00 | Val: 3.4148 (17.87%) | Best: 17.87%
Epoch 17 | T: 10s | Train: 2.9203 (21.0%) | Phys: 0.00 | Val: 3.4401 (18.19%) | Best: 18.19%
Epoch 18 | T: 10s | Train: 2.8976 (21.4%) | Phys: 0.00 | Val: 3.4074 (18.48%) | Best: 18.48%
Epoch 19 | T: 10s | Train: 2.8797 (21.6%) | Phys: 0.00 | Val: 3.3838 (19.00%) | Best: 19.00%
Epoch 20 | T: 10s | Train: 2.8531 (22.2%) | Phys: 0.00 | Val: 3.3584 (19.77%) | Best: 19.77%
Epoch 21 | T: 9s | Train: 2.8339 (22.5%) | Phys: 0.00 | Val: 3.3406 (19.68%) | Best: 19.77%
Epoch 22 | T: 10s | Train: 2.8130 (23.1%) | Phys: 0.00 | Val: 3.3454 (19.51%) | Best: 19.77%
Epoch 23 | T: 10s | Train: 2.7957 (23.4%) | Phys: 0.00 | Val: 3.3447 (20.02%) | Best: 20.02%
Epoch 24 | T: 9s | Train: 2.7768 (23.8%) | Phys: 0.00 | Val: 3.3586 (19.83%) | Best: 20.02%
Epoch 25 | T: 9s | Train: 2.7605 (24.2%) | Phys: 0.00 | Val: 3.3687 (19.73%) | Best: 20.02%
Epoch 26 | T: 10s | Train: 2.7379 (24.5%) | Phys: 0.00 | Val: 3.2961 (20.46%) | Best: 20.46%
Epoch 27 | T: 10s | Train: 2.7229 (24.9%) | Phys: 0.00 | Val: 3.2727 (21.09%) | Best: 21.09%
Epoch 28 | T: 9s | Train: 2.7039 (25.0%) | Phys: 0.00 | Val: 3.2872 (20.72%) | Best: 21.09%
Epoch 29 | T: 10s | Train: 2.6887 (25.6%) | Phys: 0.00 | Val: 3.2593 (21.64%) | Best: 21.64%
Epoch 30 | T: 10s | Train: 2.6696 (25.7%) | Phys: 0.00 | Val: 3.2569 (21.54%) | Best: 21.64%
Epoch 31 | T: 10s | Train: 2.6532 (26.1%) | Phys: 0.00 | Val: 3.2831 (21.25%) | Best: 21.64%
Epoch 32 | T: 10s | Train: 2.6376 (26.6%) | Phys: 0.00 | Val: 3.2541 (21.83%) | Best: 21.83%
Epoch 33 | T: 10s | Train: 2.6249 (26.9%) | Phys: 0.00 | Val: 3.2355 (21.64%) | Best: 21.83%
Epoch 34 | T: 9s | Train: 2.6084 (27.4%) | Phys: 0.00 | Val: 3.2720 (21.40%) | Best: 21.83%
Epoch 35 | T: 10s | Train: 2.5928 (27.7%) | Phys: 0.00 | Val: 3.2372 (22.05%) | Best: 22.05%
Epoch 36 | T: 10s | Train: 2.5795 (27.9%) | Phys: 0.00 | Val: 3.2216 (22.47%) | Best: 22.47%
Epoch 37 | T: 10s | Train: 2.5643 (28.3%) | Phys: 0.00 | Val: 3.1934 (22.61%) | Best: 22.61%
Epoch 38 | T: 9s | Train: 2.5459 (28.4%) | Phys: 0.00 | Val: 3.2084 (22.68%) | Best: 22.68%
Epoch 39 | T: 10s | Train: 2.5277 (28.8%) | Phys: 0.00 | Val: 3.1782 (23.84%) | Best: 23.84%
Epoch 40 | T: 9s | Train: 2.5178 (29.2%) | Phys: 0.00 | Val: 3.1852 (23.07%) | Best: 23.84%
Epoch 41 | T: 9s | Train: 2.5038 (29.5%) | Phys: 0.00 | Val: 3.2037 (23.38%) | Best: 23.84%
Epoch 42 | T: 10s | Train: 2.4879 (29.6%) | Phys: 0.00 | Val: 3.1800 (23.85%) | Best: 23.85%
Epoch 43 | T: 10s | Train: 2.4752 (29.9%) | Phys: 0.00 | Val: 3.1688 (23.55%) | Best: 23.85%
Epoch 44 | T: 9s | Train: 2.4610 (30.3%) | Phys: 0.00 | Val: 3.1482 (23.99%) | Best: 23.99%
Epoch 45 | T: 10s | Train: 2.4401 (30.8%) | Phys: 0.00 | Val: 3.1667 (23.91%) | Best: 23.99%
Epoch 46 | T: 9s | Train: 2.4321 (30.9%) | Phys: 0.00 | Val: 3.1897 (23.76%) | Best: 23.99%
Epoch 47 | T: 9s | Train: 2.4147 (31.4%) | Phys: 0.00 | Val: 3.1505 (24.43%) | Best: 24.43%
Epoch 48 | T: 9s | Train: 2.4034 (31.5%) | Phys: 0.00 | Val: 3.1691 (23.61%) | Best: 24.43%
Epoch 49 | T: 10s | Train: 2.3886 (31.9%) | Phys: 0.00 | Val: 3.1339 (24.07%) | Best: 24.43%
Epoch 50 | T: 9s | Train: 2.3709 (32.4%) | Phys: 0.00 | Val: 3.1173 (24.67%) | Best: 24.67%
Epoch 51 | T: 9s | Train: 2.3576 (32.6%) | Phys: 0.00 | Val: 3.1524 (24.37%) | Best: 24.67%
Epoch 52 | T: 10s | Train: 2.3429 (32.9%) | Phys: 0.00 | Val: 3.0992 (25.86%) | Best: 25.86%
Epoch 53 | T: 9s | Train: 2.3269 (33.3%) | Phys: 0.00 | Val: 3.1690 (24.32%) | Best: 25.86%
Epoch 54 | T: 9s | Train: 2.3169 (33.6%) | Phys: 0.00 | Val: 3.1430 (24.80%) | Best: 25.86%
Epoch 55 | T: 10s | Train: 2.2968 (33.8%) | Phys: 0.00 | Val: 3.1457 (24.81%) | Best: 25.86%
Epoch 56 | T: 9s | Train: 2.2881 (34.1%) | Phys: 0.00 | Val: 3.1820 (24.19%) | Best: 25.86%
Epoch 57 | T: 9s | Train: 2.2693 (34.4%) | Phys: 0.00 | Val: 3.1604 (24.25%) | Best: 25.86%
Epoch 58 | T: 10s | Train: 2.2568 (34.8%) | Phys: 0.00 | Val: 3.1129 (25.43%) | Best: 25.86%
Epoch 59 | T: 9s | Train: 2.2398 (35.0%) | Phys: 0.00 | Val: 3.1112 (25.03%) | Best: 25.86%
Epoch 60 | T: 10s | Train: 2.2278 (35.4%) | Phys: 0.00 | Val: 3.1330 (25.02%) | Best: 25.86%
Epoch 61 | T: 10s | Train: 2.2126 (35.7%) | Phys: 0.00 | Val: 3.1915 (24.13%) | Best: 25.86%
Epoch 62 | T: 10s | Train: 2.1982 (36.0%) | Phys: 0.00 | Val: 3.1851 (24.83%) | Best: 25.86%
Epoch 63 | T: 10s | Train: 2.1803 (36.5%) | Phys: 0.00 | Val: 3.1423 (24.95%) | Best: 25.86%
Epoch 64 | T: 9s | Train: 2.1721 (36.8%) | Phys: 0.00 | Val: 3.0907 (25.22%) | Best: 25.86%
Epoch 65 | T: 10s | Train: 2.1513 (37.0%) | Phys: 0.00 | Val: 3.1328 (24.85%) | Best: 25.86%
Epoch 66 | T: 10s | Train: 2.1431 (37.4%) | Phys: 0.00 | Val: 3.1493 (25.30%) | Best: 25.86%
Epoch 67 | T: 10s | Train: 2.1189 (38.0%) | Phys: 0.00 | Val: 3.0999 (25.81%) | Best: 25.86%
Epoch 68 | T: 10s | Train: 2.1083 (38.1%) | Phys: 0.00 | Val: 3.1467 (25.29%) | Best: 25.86%
Epoch 69 | T: 9s | Train: 2.0911 (38.6%) | Phys: 0.00 | Val: 3.1488 (25.41%) | Best: 25.86%
Epoch 70 | T: 9s | Train: 2.0758 (38.8%) | Phys: 0.00 | Val: 3.1169 (26.03%) | Best: 26.03%
Epoch 71 | T: 10s | Train: 2.0634 (39.2%) | Phys: 0.00 | Val: 3.2232 (24.27%) | Best: 26.03%
Epoch 72 | T: 9s | Train: 2.0472 (39.3%) | Phys: 0.00 | Val: 3.1204 (26.14%) | Best: 26.14%
Epoch 73 | T: 9s | Train: 2.0311 (39.8%) | Phys: 0.00 | Val: 3.1068 (26.77%) | Best: 26.77%
Epoch 74 | T: 10s | Train: 2.0220 (40.1%) | Phys: 0.00 | Val: 3.1335 (25.66%) | Best: 26.77%
Epoch 75 | T: 10s | Train: 2.0007 (40.5%) | Phys: 0.00 | Val: 3.1719 (25.99%) | Best: 26.77%
Epoch 76 | T: 9s | Train: 1.9853 (40.9%) | Phys: 0.00 | Val: 3.1656 (25.60%) | Best: 26.77%
Epoch 77 | T: 9s | Train: 1.9683 (41.2%) | Phys: 0.00 | Val: 3.1952 (25.55%) | Best: 26.77%
Epoch 78 | T: 10s | Train: 1.9524 (42.1%) | Phys: 0.00 | Val: 3.1439 (25.80%) | Best: 26.77%
Epoch 79 | T: 9s | Train: 1.9398 (42.3%) | Phys: 0.00 | Val: 3.1543 (25.89%) | Best: 26.77%
Epoch 80 | T: 10s | Train: 1.9267 (42.4%) | Phys: 0.00 | Val: 3.1422 (26.46%) | Best: 26.77%
Epoch 81 | T: 10s | Train: 1.9075 (43.0%) | Phys: 0.00 | Val: 3.1568 (26.44%) | Best: 26.77%
Epoch 82 | T: 9s | Train: 1.8932 (43.2%) | Phys: 0.00 | Val: 3.1929 (25.83%) | Best: 26.77%
Epoch 83 | T: 9s | Train: 1.8769 (43.5%) | Phys: 0.00 | Val: 3.1795 (25.84%) | Best: 26.77%
Epoch 84 | T: 10s | Train: 1.8594 (43.9%) | Phys: 0.00 | Val: 3.2042 (26.08%) | Best: 26.77%
Epoch 85 | T: 10s | Train: 1.8478 (44.4%) | Phys: 0.00 | Val: 3.2183 (25.17%) | Best: 26.77%
Epoch 86 | T: 10s | Train: 1.8310 (44.6%) | Phys: 0.00 | Val: 3.2387 (25.63%) | Best: 26.77%
Epoch 87 | T: 10s | Train: 1.8118 (45.0%) | Phys: 0.00 | Val: 3.2246 (26.04%) | Best: 26.77%
Epoch 88 | T: 10s | Train: 1.7956 (45.6%) | Phys: 0.00 | Val: 3.2097 (26.01%) | Best: 26.77%
Epoch 89 | T: 10s | Train: 1.7788 (46.0%) | Phys: 0.00 | Val: 3.2459 (25.44%) | Best: 26.77%
Epoch 90 | T: 9s | Train: 1.7648 (46.3%) | Phys: 0.00 | Val: 3.2660 (25.99%) | Best: 26.77%
Epoch 91 | T: 10s | Train: 1.7466 (46.7%) | Phys: 0.00 | Val: 3.2903 (24.89%) | Best: 26.77%
Epoch 92 | T: 10s | Train: 1.7326 (47.1%) | Phys: 0.00 | Val: 3.2420 (25.74%) | Best: 26.77%
Epoch 93 | T: 10s | Train: 1.7136 (47.4%) | Phys: 0.00 | Val: 3.2975 (25.12%) | Best: 26.77%
Epoch 94 | T: 10s | Train: 1.7029 (47.8%) | Phys: 0.00 | Val: 3.2627 (25.79%) | Best: 26.77%
Epoch 95 | T: 10s | Train: 1.6822 (48.6%) | Phys: 0.00 | Val: 3.3379 (25.26%) | Best: 26.77%
Epoch 96 | T: 9s | Train: 1.6700 (48.6%) | Phys: 0.00 | Val: 3.3292 (25.52%) | Best: 26.77%
Epoch 97 | T: 10s | Train: 1.6507 (49.0%) | Phys: 0.00 | Val: 3.3219 (25.85%) | Best: 26.77%
Epoch 98 | T: 10s | Train: 1.6346 (49.4%) | Phys: 0.00 | Val: 3.3837 (25.37%) | Best: 26.77%
Epoch 99 | T: 10s | Train: 1.6200 (49.7%) | Phys: 0.00 | Val: 3.3299 (25.95%) | Best: 26.77%
Epoch 100 | T: 10s | Train: 1.6044 (50.5%) | Phys: 0.00 | Val: 3.3601 (26.07%) | Best: 26.77%
Epoch 101 | T: 10s | Train: 1.5895 (50.9%) | Phys: 0.00 | Val: 3.3527 (25.45%) | Best: 26.77%
Epoch 102 | T: 10s | Train: 1.5685 (51.4%) | Phys: 0.00 | Val: 3.3764 (25.37%) | Best: 26.77%
Epoch 103 | T: 9s | Train: 1.5559 (51.7%) | Phys: 0.00 | Val: 3.4040 (25.37%) | Best: 26.77%
Epoch 104 | T: 10s | Train: 1.5364 (52.3%) | Phys: 0.00 | Val: 3.3793 (25.56%) | Best: 26.77%
Epoch 105 | T: 10s | Train: 1.5165 (52.9%) | Phys: 0.00 | Val: 3.4079 (25.61%) | Best: 26.77%
Epoch 106 | T: 10s | Train: 1.5010 (52.7%) | Phys: 0.00 | Val: 3.4339 (25.18%) | Best: 26.77%
Epoch 107 | T: 10s | Train: 1.4874 (53.4%) | Phys: 0.00 | Val: 3.4311 (25.54%) | Best: 26.77%
Epoch 108 | T: 10s | Train: 1.4728 (53.6%) | Phys: 0.00 | Val: 3.4470 (26.51%) | Best: 26.77%
Epoch 109 | T: 9s | Train: 1.4622 (54.1%) | Phys: 0.00 | Val: 3.4625 (25.55%) | Best: 26.77%
Epoch 110 | T: 10s | Train: 1.4389 (54.6%) | Phys: 0.00 | Val: 3.4944 (25.51%) | Best: 26.77%
Epoch 111 | T: 9s | Train: 1.4239 (55.1%) | Phys: 0.00 | Val: 3.5018 (25.56%) | Best: 26.77%
Epoch 112 | T: 10s | Train: 1.4077 (55.4%) | Phys: 0.00 | Val: 3.5049 (25.50%) | Best: 26.77%
Epoch 113 | T: 10s | Train: 1.3929 (55.7%) | Phys: 0.00 | Val: 3.5457 (25.31%) | Best: 26.77%
Epoch 114 | T: 10s | Train: 1.3701 (56.6%) | Phys: 0.00 | Val: 3.5920 (25.01%) | Best: 26.77%
Epoch 115 | T: 10s | Train: 1.3552 (57.2%) | Phys: 0.00 | Val: 3.5773 (24.93%) | Best: 26.77%
