Epoch 1 | T: 11s | Train: 4.1171 (1.9%) | Phys: 0.77 | Val: 4.4405 (2.89%) | Best: 2.89%
Epoch 2 | T: 12s | Train: 3.7617 (5.6%) | Phys: 0.76 | Val: 4.1134 (6.60%) | Best: 6.60%
Epoch 3 | T: 10s | Train: 3.5795 (8.4%) | Phys: 0.75 | Val: 3.9829 (8.06%) | Best: 8.06%
Epoch 4 | T: 10s | Train: 3.4900 (10.2%) | Phys: 0.75 | Val: 3.8813 (10.52%) | Best: 10.52%
Epoch 5 | T: 10s | Train: 3.4141 (11.6%) | Phys: 0.75 | Val: 3.8105 (11.47%) | Best: 11.47%
Epoch 6 | T: 10s | Train: 3.3546 (12.9%) | Phys: 0.75 | Val: 3.7651 (11.89%) | Best: 11.89%
Epoch 7 | T: 10s | Train: 3.3030 (13.7%) | Phys: 0.75 | Val: 3.7044 (13.27%) | Best: 13.27%
Epoch 8 | T: 10s | Train: 3.2630 (14.6%) | Phys: 0.75 | Val: 3.6844 (13.37%) | Best: 13.37%
Epoch 9 | T: 10s | Train: 3.2224 (15.1%) | Phys: 0.75 | Val: 3.6331 (14.29%) | Best: 14.29%
Epoch 10 | T: 10s | Train: 3.1851 (16.0%) | Phys: 0.75 | Val: 3.6036 (14.82%) | Best: 14.82%
Epoch 11 | T: 10s | Train: 3.1491 (16.6%) | Phys: 0.75 | Val: 3.5477 (15.97%) | Best: 15.97%
Epoch 12 | T: 10s | Train: 3.1146 (17.2%) | Phys: 0.75 | Val: 3.4940 (16.74%) | Best: 16.74%
Epoch 13 | T: 10s | Train: 3.0843 (18.0%) | Phys: 0.75 | Val: 3.5042 (17.04%) | Best: 17.04%
Epoch 14 | T: 10s | Train: 3.0597 (18.4%) | Phys: 0.74 | Val: 3.4961 (16.94%) | Best: 17.04%
Epoch 15 | T: 10s | Train: 3.0286 (19.0%) | Phys: 0.74 | Val: 3.4409 (18.10%) | Best: 18.10%
Epoch 16 | T: 10s | Train: 3.0084 (19.4%) | Phys: 0.74 | Val: 3.4416 (17.80%) | Best: 18.10%
Epoch 17 | T: 10s | Train: 2.9875 (19.9%) | Phys: 0.74 | Val: 3.4222 (18.62%) | Best: 18.62%
Epoch 18 | T: 10s | Train: 2.9651 (20.2%) | Phys: 0.74 | Val: 3.3894 (19.24%) | Best: 19.24%
Epoch 19 | T: 10s | Train: 2.9445 (20.7%) | Phys: 0.74 | Val: 3.3565 (19.64%) | Best: 19.64%
Epoch 20 | T: 10s | Train: 2.9307 (20.9%) | Phys: 0.74 | Val: 3.3648 (19.64%) | Best: 19.64%
Epoch 21 | T: 10s | Train: 2.9149 (21.5%) | Phys: 0.74 | Val: 3.3387 (20.35%) | Best: 20.35%
Epoch 22 | T: 10s | Train: 2.8971 (21.9%) | Phys: 0.74 | Val: 3.3516 (19.53%) | Best: 20.35%
Epoch 23 | T: 10s | Train: 2.8848 (22.1%) | Phys: 0.74 | Val: 3.3035 (20.44%) | Best: 20.44%
Epoch 24 | T: 10s | Train: 2.8717 (21.8%) | Phys: 0.74 | Val: 3.2826 (20.85%) | Best: 20.85%
Epoch 25 | T: 10s | Train: 2.8522 (22.7%) | Phys: 0.74 | Val: 3.3152 (20.10%) | Best: 20.85%
Epoch 26 | T: 10s | Train: 2.8414 (22.9%) | Phys: 0.74 | Val: 3.2723 (20.88%) | Best: 20.88%
Epoch 27 | T: 10s | Train: 2.8250 (23.3%) | Phys: 0.74 | Val: 3.2441 (21.68%) | Best: 21.68%
Epoch 28 | T: 10s | Train: 2.8155 (23.3%) | Phys: 0.74 | Val: 3.2311 (22.02%) | Best: 22.02%
Epoch 29 | T: 10s | Train: 2.7992 (23.7%) | Phys: 0.74 | Val: 3.2246 (22.07%) | Best: 22.07%
Epoch 30 | T: 10s | Train: 2.7867 (24.1%) | Phys: 0.74 | Val: 3.1657 (23.25%) | Best: 23.25%
Epoch 31 | T: 10s | Train: 2.7739 (24.4%) | Phys: 0.74 | Val: 3.1838 (22.63%) | Best: 23.25%
