Epoch 1 | T: 18s | Train: 4.1443 (1.1%) | Phys: 0.77 | Val: 4.6006 (3.02%) | Best: 3.02%
Epoch 2 | T: 19s | Train: 4.0996 (2.2%) | Phys: 0.76 | Val: 4.4116 (3.69%) | Best: 3.69%
Epoch 3 | T: 18s | Train: 3.9914 (3.5%) | Phys: 0.75 | Val: 4.2267 (7.34%) | Best: 7.34%
Epoch 4 | T: 18s | Train: 3.9557 (4.3%) | Phys: 0.75 | Val: 4.1648 (7.45%) | Best: 7.45%
Epoch 5 | T: 18s | Train: 3.9173 (5.0%) | Phys: 0.75 | Val: 4.0944 (8.17%) | Best: 8.17%
Epoch 6 | T: 18s | Train: 3.8946 (5.6%) | Phys: 0.74 | Val: 4.0446 (9.23%) | Best: 9.23%
Epoch 7 | T: 18s | Train: 3.8774 (5.8%) | Phys: 0.74 | Val: 4.0256 (9.80%) | Best: 9.80%
Epoch 8 | T: 18s | Train: 3.8535 (6.2%) | Phys: 0.74 | Val: 3.9795 (11.68%) | Best: 11.68%
Epoch 9 | T: 18s | Train: 3.8341 (6.6%) | Phys: 0.74 | Val: 3.9192 (11.30%) | Best: 11.68%
Epoch 10 | T: 18s | Train: 3.8362 (6.7%) | Phys: 0.74 | Val: 3.9266 (11.52%) | Best: 11.68%
Epoch 11 | T: 18s | Train: 3.8336 (6.8%) | Phys: 0.74 | Val: 3.9025 (12.30%) | Best: 12.30%
Epoch 12 | T: 18s | Train: 3.8288 (6.7%) | Phys: 0.74 | Val: 3.8772 (12.58%) | Best: 12.58%
Epoch 13 | T: 19s | Train: 3.8026 (7.2%) | Phys: 0.73 | Val: 3.8425 (12.88%) | Best: 12.88%
Epoch 14 | T: 19s | Train: 3.7928 (7.5%) | Phys: 0.73 | Val: 3.8642 (12.84%) | Best: 12.88%
Epoch 15 | T: 18s | Train: 3.7920 (7.4%) | Phys: 0.73 | Val: 3.8130 (13.55%) | Best: 13.55%
Epoch 16 | T: 18s | Train: 3.7857 (7.6%) | Phys: 0.73 | Val: 3.8128 (14.02%) | Best: 14.02%
Epoch 17 | T: 18s | Train: 3.7678 (7.9%) | Phys: 0.73 | Val: 3.7856 (14.22%) | Best: 14.22%
Epoch 18 | T: 18s | Train: 3.7744 (8.0%) | Phys: 0.73 | Val: 3.7667 (14.73%) | Best: 14.73%
Epoch 19 | T: 18s | Train: 3.7629 (8.1%) | Phys: 0.73 | Val: 3.7846 (14.86%) | Best: 14.86%
Epoch 20 | T: 18s | Train: 3.7634 (8.0%) | Phys: 0.73 | Val: 3.7636 (15.79%) | Best: 15.79%
Epoch 21 | T: 18s | Train: 3.7505 (8.3%) | Phys: 0.73 | Val: 3.7342 (15.65%) | Best: 15.79%
Epoch 22 | T: 18s | Train: 3.7423 (8.6%) | Phys: 0.73 | Val: 3.7263 (15.65%) | Best: 15.79%
Epoch 23 | T: 18s | Train: 3.7317 (8.6%) | Phys: 0.73 | Val: 3.7019 (15.77%) | Best: 15.79%
Epoch 24 | T: 18s | Train: 3.7264 (8.7%) | Phys: 0.73 | Val: 3.7034 (15.85%) | Best: 15.85%
Epoch 25 | T: 18s | Train: 3.7173 (8.7%) | Phys: 0.73 | Val: 3.6895 (16.49%) | Best: 16.49%
Epoch 26 | T: 18s | Train: 3.7311 (8.7%) | Phys: 0.73 | Val: 3.7020 (16.55%) | Best: 16.55%
Epoch 27 | T: 18s | Train: 3.6942 (9.4%) | Phys: 0.72 | Val: 3.6766 (16.45%) | Best: 16.55%
Epoch 28 | T: 18s | Train: 3.7077 (9.0%) | Phys: 0.73 | Val: 3.6360 (17.06%) | Best: 17.06%
Epoch 29 | T: 18s | Train: 3.7131 (9.1%) | Phys: 0.72 | Val: 3.6422 (17.49%) | Best: 17.49%
Epoch 30 | T: 18s | Train: 3.6944 (9.3%) | Phys: 0.72 | Val: 3.6424 (17.60%) | Best: 17.60%
Epoch 31 | T: 18s | Train: 3.6734 (9.9%) | Phys: 0.72 | Val: 3.6298 (17.68%) | Best: 17.68%
Epoch 32 | T: 18s | Train: 3.6970 (9.3%) | Phys: 0.72 | Val: 3.6546 (17.22%) | Best: 17.68%
Epoch 33 | T: 18s | Train: 3.6916 (9.6%) | Phys: 0.72 | Val: 3.6192 (18.52%) | Best: 18.52%
Epoch 34 | T: 18s | Train: 3.6796 (9.8%) | Phys: 0.72 | Val: 3.5993 (18.33%) | Best: 18.52%
Epoch 35 | T: 18s | Train: 3.6824 (9.6%) | Phys: 0.72 | Val: 3.6191 (18.99%) | Best: 18.99%
