Training on: cuda | Mode: baseline | Alpha: 0.1
Epoch 001 | T: 27s | Train: 3.9753 (3.8%) | Phys: 0.00 | Val: 4.0502 (6.85%) | Best: 6.85%
Epoch 002 | T: 27s | Train: 3.8729 (5.5%) | Phys: 0.00 | Val: 3.9293 (9.83%) | Best: 9.83%
Epoch 003 | T: 27s | Train: 3.8653 (5.7%) | Phys: 0.00 | Val: 3.8961 (10.10%) | Best: 10.10%
Epoch 004 | T: 27s | Train: 3.8390 (5.9%) | Phys: 0.00 | Val: 3.8423 (10.27%) | Best: 10.27%
Epoch 005 | T: 27s | Train: 3.8255 (6.3%) | Phys: 0.00 | Val: 3.8616 (10.60%) | Best: 10.60%
Epoch 006 | T: 27s | Train: 3.8453 (6.0%) | Phys: 0.00 | Val: 3.8469 (11.48%) | Best: 11.48%
Epoch 007 | T: 27s | Train: 3.8588 (6.0%) | Phys: 0.00 | Val: 3.8347 (10.48%) | Best: 11.48%
Epoch 008 | T: 27s | Train: 3.8194 (6.7%) | Phys: 0.00 | Val: 3.7806 (11.41%) | Best: 11.48%
Epoch 009 | T: 27s | Train: 3.8205 (6.5%) | Phys: 0.00 | Val: 3.8335 (10.69%) | Best: 11.48%
Epoch 010 | T: 27s | Train: 3.8137 (6.7%) | Phys: 0.00 | Val: 3.7851 (11.70%) | Best: 11.70%
Epoch 011 | T: 27s | Train: 3.8168 (6.6%) | Phys: 0.00 | Val: 3.7368 (13.17%) | Best: 13.17%
Epoch 012 | T: 27s | Train: 3.7907 (7.0%) | Phys: 0.00 | Val: 3.7266 (13.00%) | Best: 13.17%
Epoch 013 | T: 27s | Train: 3.7699 (7.4%) | Phys: 0.00 | Val: 3.7058 (12.73%) | Best: 13.17%
Epoch 014 | T: 27s | Train: 3.7845 (7.3%) | Phys: 0.00 | Val: 3.7165 (13.24%) | Best: 13.24%
Epoch 015 | T: 27s | Train: 3.8015 (6.8%) | Phys: 0.00 | Val: 3.8543 (10.30%) | Best: 13.24%
Epoch 016 | T: 27s | Train: 3.8152 (6.7%) | Phys: 0.00 | Val: 3.7054 (13.46%) | Best: 13.46%
Epoch 017 | T: 27s | Train: 3.7870 (7.1%) | Phys: 0.00 | Val: 3.7463 (12.36%) | Best: 13.46%
Epoch 018 | T: 27s | Train: 3.7766 (7.3%) | Phys: 0.00 | Val: 3.7036 (13.19%) | Best: 13.46%
Epoch 019 | T: 27s | Train: 3.8640 (5.9%) | Phys: 0.00 | Val: 3.8203 (11.57%) | Best: 13.46%
Epoch 020 | T: 27s | Train: 3.8170 (6.8%) | Phys: 0.00 | Val: 3.7945 (12.07%) | Best: 13.46%
Epoch 021 | T: 27s | Train: 3.7984 (7.0%) | Phys: 0.00 | Val: 3.6895 (13.58%) | Best: 13.58%
Epoch 022 | T: 27s | Train: 3.7734 (7.4%) | Phys: 0.00 | Val: 3.6989 (13.40%) | Best: 13.58%
Epoch 023 | T: 27s | Train: 3.7725 (7.5%) | Phys: 0.00 | Val: 3.6652 (14.26%) | Best: 14.26%
Epoch 024 | T: 27s | Train: 3.7810 (7.3%) | Phys: 0.00 | Val: 3.7274 (13.33%) | Best: 14.26%
Epoch 025 | T: 27s | Train: 3.7748 (7.2%) | Phys: 0.00 | Val: 3.7691 (12.75%) | Best: 14.26%
Epoch 026 | T: 28s | Train: 3.7957 (7.2%) | Phys: 0.00 | Val: 3.7192 (13.42%) | Best: 14.26%
Epoch 027 | T: 27s | Train: 3.7724 (7.6%) | Phys: 0.00 | Val: 3.7149 (14.15%) | Best: 14.26%
Epoch 028 | T: 27s | Train: 3.7827 (7.3%) | Phys: 0.00 | Val: 3.6946 (13.82%) | Best: 14.26%
Epoch 029 | T: 27s | Train: 3.7819 (7.4%) | Phys: 0.00 | Val: 3.7020 (13.82%) | Best: 14.26%
Epoch 030 | T: 27s | Train: 3.7997 (7.0%) | Phys: 0.00 | Val: 3.7141 (13.82%) | Best: 14.26%
