Epoch 001 | T: 27s | Train: 4.3481 (4.2%) | Phys: 0.10 | Val: 3.9358 (10.34%) | Best: 10.34%
Epoch 002 | T: 28s | Train: 4.1782 (6.8%) | Phys: 0.06 | Val: 3.7804 (11.48%) | Best: 11.48%
Epoch 003 | T: 27s | Train: 4.1678 (7.2%) | Phys: 0.06 | Val: 3.7507 (12.34%) | Best: 12.34%
Epoch 004 | T: 29s | Train: 4.1516 (7.4%) | Phys: 0.06 | Val: 3.7603 (12.78%) | Best: 12.78%
Epoch 005 | T: 27s | Train: 4.1707 (7.1%) | Phys: 0.07 | Val: 3.7303 (13.19%) | Best: 13.19%
Epoch 006 | T: 28s | Train: 4.1615 (7.4%) | Phys: 0.08 | Val: 3.7251 (13.83%) | Best: 13.83%
Epoch 007 | T: 27s | Train: 4.1525 (7.5%) | Phys: 0.09 | Val: 3.7567 (12.33%) | Best: 13.83%
Epoch 008 | T: 27s | Train: 4.1598 (7.5%) | Phys: 0.11 | Val: 3.7156 (13.17%) | Best: 13.83%
Epoch 009 | T: 27s | Train: 4.1363 (7.8%) | Phys: 0.12 | Val: 3.6686 (14.55%) | Best: 14.55%
Epoch 010 | T: 27s | Train: 4.1092 (8.1%) | Phys: 0.13 | Val: 3.6308 (15.13%) | Best: 15.13%
Epoch 011 | T: 27s | Train: 4.1006 (8.6%) | Phys: 0.12 | Val: 3.6168 (15.14%) | Best: 15.14%
Epoch 012 | T: 27s | Train: 4.0686 (9.0%) | Phys: 0.15 | Val: 3.5198 (16.82%) | Best: 16.82%
Epoch 013 | T: 27s | Train: 4.0284 (9.7%) | Phys: 0.13 | Val: 3.4582 (17.73%) | Best: 17.73%
Epoch 014 | T: 27s | Train: 4.0067 (10.2%) | Phys: 0.12 | Val: 3.4227 (18.61%) | Best: 18.61%
Epoch 015 | T: 27s | Train: 3.9787 (10.6%) | Phys: 0.11 | Val: 3.4046 (19.40%) | Best: 19.40%
Epoch 016 | T: 27s | Train: 3.9844 (10.6%) | Phys: 0.12 | Val: 3.3749 (19.47%) | Best: 19.47%
Epoch 017 | T: 27s | Train: 3.9688 (10.8%) | Phys: 0.09 | Val: 3.3452 (20.76%) | Best: 20.76%
Epoch 018 | T: 27s | Train: 3.9371 (11.5%) | Phys: 0.10 | Val: 3.3166 (21.19%) | Best: 21.19%
Epoch 019 | T: 28s | Train: 3.8752 (12.3%) | Phys: 0.10 | Val: 3.2360 (22.65%) | Best: 22.65%
Epoch 020 | T: 27s | Train: 3.9020 (12.1%) | Phys: 0.09 | Val: 3.1580 (23.71%) | Best: 23.71%
Epoch 021 | T: 27s | Train: 3.8881 (12.3%) | Phys: 0.07 | Val: 3.1471 (23.98%) | Best: 23.98%
Epoch 022 | T: 28s | Train: 3.8756 (12.5%) | Phys: 0.07 | Val: 3.1419 (23.99%) | Best: 23.99%
Epoch 023 | T: 27s | Train: 3.8462 (13.3%) | Phys: 0.06 | Val: 3.0532 (26.09%) | Best: 26.09%
Epoch 024 | T: 27s | Train: 3.8060 (13.9%) | Phys: 0.06 | Val: 3.0505 (26.22%) | Best: 26.22%
Epoch 025 | T: 27s | Train: 3.7813 (14.3%) | Phys: 0.06 | Val: 3.0200 (26.35%) | Best: 26.35%
Epoch 026 | T: 27s | Train: 3.7855 (14.4%) | Phys: 0.06 | Val: 2.9388 (27.84%) | Best: 27.84%
