Epoch 001 | T: 24s | Train: 3.4222 (11.4%) | Phys: 0.77 | Val: 3.4397 (16.64%) | Best: 16.64%
Epoch 002 | T: 22s | Train: 2.7362 (23.5%) | Phys: 0.76 | Val: 2.7931 (29.42%) | Best: 29.42%
Epoch 003 | T: 22s | Train: 2.2439 (34.1%) | Phys: 0.76 | Val: 2.5353 (34.36%) | Best: 34.36%
Epoch 004 | T: 22s | Train: 1.9287 (41.5%) | Phys: 0.77 | Val: 2.2040 (41.17%) | Best: 41.17%
Epoch 005 | T: 22s | Train: 1.7155 (47.2%) | Phys: 0.77 | Val: 2.1533 (42.35%) | Best: 42.35%
Epoch 006 | T: 22s | Train: 1.5716 (51.1%) | Phys: 0.78 | Val: 1.9944 (45.64%) | Best: 45.64%
Epoch 007 | T: 22s | Train: 1.4684 (53.9%) | Phys: 0.78 | Val: 2.1876 (44.74%) | Best: 45.64%
Epoch 008 | T: 22s | Train: 1.4008 (55.9%) | Phys: 0.78 | Val: 1.8703 (50.17%) | Best: 50.17%
Epoch 009 | T: 22s | Train: 1.3347 (57.6%) | Phys: 0.78 | Val: 2.0106 (48.91%) | Best: 50.17%
Epoch 010 | T: 22s | Train: 1.2921 (58.9%) | Phys: 0.78 | Val: 1.6958 (53.88%) | Best: 53.88%
Epoch 011 | T: 22s | Train: 1.2451 (60.4%) | Phys: 0.78 | Val: 2.0674 (47.33%) | Best: 53.88%
Epoch 012 | T: 22s | Train: 1.2077 (61.6%) | Phys: 0.78 | Val: 1.6284 (55.62%) | Best: 55.62%
Epoch 013 | T: 22s | Train: 1.1830 (62.0%) | Phys: 0.78 | Val: 1.7548 (53.84%) | Best: 55.62%
Epoch 014 | T: 22s | Train: 1.1571 (62.7%) | Phys: 0.78 | Val: 1.7233 (54.19%) | Best: 55.62%
Epoch 015 | T: 22s | Train: 1.1289 (63.8%) | Phys: 0.78 | Val: 1.8695 (50.70%) | Best: 55.62%
Epoch 016 | T: 22s | Train: 1.1099 (64.4%) | Phys: 0.78 | Val: 1.8282 (52.62%) | Best: 55.62%
Epoch 017 | T: 22s | Train: 1.1018 (64.5%) | Phys: 0.78 | Val: 1.7158 (54.58%) | Best: 55.62%
Epoch 018 | T: 22s | Train: 1.0772 (65.1%) | Phys: 0.78 | Val: 1.7481 (53.98%) | Best: 55.62%
Epoch 019 | T: 22s | Train: 1.0726 (65.3%) | Phys: 0.78 | Val: 1.7390 (53.93%) | Best: 55.62%
Epoch 020 | T: 22s | Train: 1.0545 (66.2%) | Phys: 0.78 | Val: 1.7086 (54.62%) | Best: 55.62%
Epoch 021 | T: 22s | Train: 1.0431 (66.2%) | Phys: 0.78 | Val: 1.6879 (54.80%) | Best: 55.62%
Epoch 022 | T: 22s | Train: 1.0298 (66.7%) | Phys: 0.78 | Val: 1.7932 (53.87%) | Best: 55.62%
Epoch 023 | T: 22s | Train: 1.0258 (66.8%) | Phys: 0.78 | Val: 1.6144 (57.18%) | Best: 57.18%
Epoch 024 | T: 22s | Train: 1.0147 (67.2%) | Phys: 0.78 | Val: 1.5501 (58.22%) | Best: 58.22%
Epoch 025 | T: 22s | Train: 1.0017 (67.4%) | Phys: 0.78 | Val: 1.5344 (58.38%) | Best: 58.38%
Epoch 026 | T: 22s | Train: 0.9996 (67.6%) | Phys: 0.78 | Val: 1.6781 (56.43%) | Best: 58.38%
Epoch 027 | T: 22s | Train: 0.9883 (67.9%) | Phys: 0.78 | Val: 1.4793 (59.48%) | Best: 59.48%
Epoch 028 | T: 22s | Train: 0.9965 (67.7%) | Phys: 0.78 | Val: 1.7774 (53.42%) | Best: 59.48%
Epoch 029 | T: 22s | Train: 0.9879 (68.0%) | Phys: 0.78 | Val: 1.7523 (54.17%) | Best: 59.48%
Epoch 030 | T: 22s | Train: 0.9715 (68.4%) | Phys: 0.78 | Val: 1.6965 (54.88%) | Best: 59.48%
Epoch 031 | T: 22s | Train: 0.9825 (68.2%) | Phys: 0.78 | Val: 1.5418 (59.01%) | Best: 59.48%
Epoch 032 | T: 22s | Train: 0.9671 (68.5%) | Phys: 0.78 | Val: 1.6540 (55.79%) | Best: 59.48%
Epoch 033 | T: 22s | Train: 0.9550 (69.3%) | Phys: 0.78 | Val: 1.6176 (57.55%) | Best: 59.48%
Epoch 034 | T: 22s | Train: 0.9614 (68.8%) | Phys: 0.78 | Val: 1.8156 (54.17%) | Best: 59.48%
Epoch 035 | T: 22s | Train: 0.9480 (69.1%) | Phys: 0.78 | Val: 1.8354 (53.86%) | Best: 59.48%
Epoch 036 | T: 22s | Train: 0.9505 (68.9%) | Phys: 0.78 | Val: 1.7397 (55.28%) | Best: 59.48%
Epoch 037 | T: 22s | Train: 0.9470 (69.1%) | Phys: 0.78 | Val: 1.6203 (56.58%) | Best: 59.48%
