Epoch 001 | T: 23s | Train: 3.8172 (6.9%) | Phys: 0.77 | Val: 3.5302 (14.98%) | Best: 14.98%
Epoch 002 | T: 22s | Train: 3.4903 (12.2%) | Phys: 0.76 | Val: 3.2082 (21.83%) | Best: 21.83%
Epoch 003 | T: 22s | Train: 3.2803 (16.7%) | Phys: 0.77 | Val: 2.7725 (29.39%) | Best: 29.39%
Epoch 004 | T: 22s | Train: 3.0618 (21.9%) | Phys: 0.77 | Val: 2.5015 (35.11%) | Best: 35.11%
Epoch 005 | T: 22s | Train: 2.9708 (24.2%) | Phys: 0.78 | Val: 2.7297 (30.76%) | Best: 35.11%
Epoch 006 | T: 22s | Train: 2.8530 (27.6%) | Phys: 0.78 | Val: 2.2589 (41.57%) | Best: 41.57%
Epoch 007 | T: 22s | Train: 2.7679 (29.5%) | Phys: 0.79 | Val: 2.0483 (46.48%) | Best: 46.48%
Epoch 008 | T: 22s | Train: 2.6863 (31.8%) | Phys: 0.79 | Val: 2.0472 (46.11%) | Best: 46.48%
Epoch 009 | T: 22s | Train: 2.6734 (32.5%) | Phys: 0.79 | Val: 1.9998 (47.39%) | Best: 47.39%
Epoch 010 | T: 22s | Train: 2.5784 (34.5%) | Phys: 0.79 | Val: 1.9938 (46.99%) | Best: 47.39%
Epoch 011 | T: 22s | Train: 2.6013 (34.4%) | Phys: 0.79 | Val: 1.7570 (52.16%) | Best: 52.16%
Epoch 012 | T: 22s | Train: 2.5812 (35.1%) | Phys: 0.79 | Val: 1.8441 (51.38%) | Best: 52.16%
Epoch 013 | T: 22s | Train: 2.5482 (35.9%) | Phys: 0.79 | Val: 1.7925 (52.74%) | Best: 52.74%
Epoch 014 | T: 22s | Train: 2.5090 (37.0%) | Phys: 0.79 | Val: 2.0511 (47.17%) | Best: 52.74%
Epoch 015 | T: 22s | Train: 2.5185 (36.8%) | Phys: 0.79 | Val: 2.1032 (46.50%) | Best: 52.74%
Epoch 016 | T: 22s | Train: 2.4588 (38.2%) | Phys: 0.79 | Val: 2.0021 (48.19%) | Best: 52.74%
Epoch 017 | T: 21s | Train: 2.4823 (37.8%) | Phys: 0.79 | Val: 1.6955 (54.61%) | Best: 54.61%
Epoch 018 | T: 22s | Train: 2.4971 (37.7%) | Phys: 0.79 | Val: 1.8719 (51.61%) | Best: 54.61%
Epoch 019 | T: 22s | Train: 2.4564 (38.5%) | Phys: 0.79 | Val: 1.8117 (51.71%) | Best: 54.61%
Epoch 020 | T: 22s | Train: 2.4557 (38.5%) | Phys: 0.79 | Val: 1.8915 (50.54%) | Best: 54.61%
Epoch 021 | T: 22s | Train: 2.4328 (39.2%) | Phys: 0.79 | Val: 1.7848 (53.03%) | Best: 54.61%
Epoch 022 | T: 22s | Train: 2.4284 (39.5%) | Phys: 0.79 | Val: 1.5702 (58.42%) | Best: 58.42%
Epoch 023 | T: 22s | Train: 2.3528 (41.2%) | Phys: 0.79 | Val: 1.7981 (52.90%) | Best: 58.42%
Epoch 024 | T: 22s | Train: 2.4026 (39.9%) | Phys: 0.79 | Val: 1.8330 (51.84%) | Best: 58.42%
Epoch 025 | T: 21s | Train: 2.4533 (38.7%) | Phys: 0.79 | Val: 1.8576 (51.21%) | Best: 58.42%
Epoch 026 | T: 22s | Train: 2.4317 (39.4%) | Phys: 0.79 | Val: 1.7958 (54.19%) | Best: 58.42%
Epoch 027 | T: 22s | Train: 2.3883 (40.5%) | Phys: 0.79 | Val: 1.6591 (56.70%) | Best: 58.42%
Epoch 028 | T: 22s | Train: 2.4351 (39.4%) | Phys: 0.79 | Val: 1.7021 (54.38%) | Best: 58.42%
Epoch 029 | T: 22s | Train: 2.4221 (39.7%) | Phys: 0.79 | Val: 1.7276 (55.58%) | Best: 58.42%
Epoch 030 | T: 22s | Train: 2.3131 (42.3%) | Phys: 0.79 | Val: 1.6510 (56.20%) | Best: 58.42%
Epoch 031 | T: 22s | Train: 2.3649 (41.2%) | Phys: 0.79 | Val: 1.8055 (54.82%) | Best: 58.42%
Epoch 032 | T: 22s | Train: 2.4093 (40.2%) | Phys: 0.79 | Val: 1.8535 (51.43%) | Best: 58.42%
Epoch 033 | T: 22s | Train: 2.3627 (41.5%) | Phys: 0.79 | Val: 1.5696 (59.60%) | Best: 59.60%
Epoch 034 | T: 22s | Train: 2.3486 (41.8%) | Phys: 0.79 | Val: 1.7091 (54.65%) | Best: 59.60%
Epoch 035 | T: 22s | Train: 2.3411 (41.8%) | Phys: 0.79 | Val: 1.7524 (54.76%) | Best: 59.60%
Epoch 036 | T: 22s | Train: 2.3511 (41.4%) | Phys: 0.79 | Val: 1.6593 (57.63%) | Best: 59.60%
Epoch 037 | T: 21s | Train: 2.3069 (42.6%) | Phys: 0.79 | Val: 1.7242 (55.63%) | Best: 59.60%
Epoch 038 | T: 22s | Train: 2.3380 (41.7%) | Phys: 0.79 | Val: 1.8208 (52.79%) | Best: 59.60%
Epoch 039 | T: 22s | Train: 2.3119 (42.6%) | Phys: 0.79 | Val: 1.8042 (54.96%) | Best: 59.60%
Epoch 040 | T: 22s | Train: 2.3868 (40.8%) | Phys: 0.79 | Val: 1.5740 (58.32%) | Best: 59.60%
Epoch 041 | T: 22s | Train: 2.3359 (42.2%) | Phys: 0.79 | Val: 1.5769 (58.77%) | Best: 59.60%
