Epoch 001 | T: 32s | Train: 3.3346 (13.9%) | Phys: 0.77 | Val: 3.1173 (23.09%) | Best: 23.09%
Epoch 002 | T: 32s | Train: 2.7111 (25.5%) | Phys: 0.73 | Val: 2.6895 (31.08%) | Best: 31.08%
Epoch 003 | T: 31s | Train: 2.4683 (30.5%) | Phys: 0.71 | Val: 2.4588 (36.29%) | Best: 36.29%
Epoch 004 | T: 31s | Train: 2.3261 (34.0%) | Phys: 0.70 | Val: 2.4364 (36.89%) | Best: 36.89%
Epoch 005 | T: 32s | Train: 2.2047 (36.8%) | Phys: 0.69 | Val: 2.2546 (41.28%) | Best: 41.28%
Epoch 006 | T: 32s | Train: 2.1113 (39.0%) | Phys: 0.69 | Val: 2.2425 (41.82%) | Best: 41.82%
Epoch 007 | T: 32s | Train: 2.0146 (41.3%) | Phys: 0.68 | Val: 2.1492 (43.66%) | Best: 43.66%
Epoch 008 | T: 32s | Train: 1.9255 (43.6%) | Phys: 0.67 | Val: 1.9710 (47.77%) | Best: 47.77%
Epoch 009 | T: 33s | Train: 1.8418 (45.8%) | Phys: 0.67 | Val: 2.0088 (46.71%) | Best: 47.77%
Epoch 010 | T: 31s | Train: 1.7686 (47.6%) | Phys: 0.67 | Val: 1.8978 (48.96%) | Best: 48.96%
Epoch 011 | T: 32s | Train: 1.6903 (49.4%) | Phys: 0.66 | Val: 1.8426 (50.77%) | Best: 50.77%
Epoch 012 | T: 31s | Train: 1.6459 (50.6%) | Phys: 0.66 | Val: 1.7958 (51.65%) | Best: 51.65%
Epoch 013 | T: 32s | Train: 1.5779 (52.2%) | Phys: 0.65 | Val: 1.7884 (52.33%) | Best: 52.33%
Epoch 014 | T: 31s | Train: 1.5218 (53.8%) | Phys: 0.65 | Val: 1.7622 (52.82%) | Best: 52.82%
Epoch 015 | T: 31s | Train: 1.4799 (55.0%) | Phys: 0.65 | Val: 1.7523 (53.06%) | Best: 53.06%
Epoch 016 | T: 31s | Train: 1.4349 (56.2%) | Phys: 0.65 | Val: 1.7746 (52.12%) | Best: 53.06%
Epoch 017 | T: 32s | Train: 1.3846 (57.5%) | Phys: 0.64 | Val: 1.7417 (52.86%) | Best: 53.06%
Epoch 018 | T: 31s | Train: 1.3426 (58.5%) | Phys: 0.64 | Val: 1.7132 (54.28%) | Best: 54.28%
Epoch 019 | T: 31s | Train: 1.3040 (59.7%) | Phys: 0.64 | Val: 1.6595 (54.71%) | Best: 54.71%
Epoch 020 | T: 32s | Train: 1.2611 (60.6%) | Phys: 0.64 | Val: 1.7086 (53.51%) | Best: 54.71%
Epoch 021 | T: 31s | Train: 1.2213 (61.8%) | Phys: 0.64 | Val: 1.7087 (54.26%) | Best: 54.71%
Epoch 022 | T: 32s | Train: 1.1936 (62.4%) | Phys: 0.63 | Val: 1.6591 (54.75%) | Best: 54.75%
Epoch 023 | T: 32s | Train: 1.1553 (63.8%) | Phys: 0.63 | Val: 1.6273 (55.52%) | Best: 55.52%
Epoch 024 | T: 32s | Train: 1.1214 (64.5%) | Phys: 0.63 | Val: 1.6451 (55.22%) | Best: 55.52%
Epoch 025 | T: 31s | Train: 1.0852 (65.4%) | Phys: 0.63 | Val: 1.6602 (55.30%) | Best: 55.52%
Epoch 026 | T: 32s | Train: 1.0586 (66.3%) | Phys: 0.63 | Val: 1.6355 (55.90%) | Best: 55.90%
Epoch 027 | T: 32s | Train: 1.0280 (67.1%) | Phys: 0.63 | Val: 1.6111 (56.32%) | Best: 56.32%
Epoch 028 | T: 32s | Train: 0.9929 (68.0%) | Phys: 0.63 | Val: 1.6791 (55.00%) | Best: 56.32%
Epoch 029 | T: 32s | Train: 0.9726 (68.7%) | Phys: 0.63 | Val: 1.6402 (55.78%) | Best: 56.32%
Epoch 030 | T: 31s | Train: 0.9434 (69.6%) | Phys: 0.63 | Val: 1.5933 (56.91%) | Best: 56.91%
Epoch 031 | T: 32s | Train: 0.9217 (70.2%) | Phys: 0.62 | Val: 1.5498 (58.13%) | Best: 58.13%
Epoch 032 | T: 32s | Train: 0.8970 (71.0%) | Phys: 0.62 | Val: 1.5791 (57.94%) | Best: 58.13%
Epoch 033 | T: 32s | Train: 0.8739 (71.6%) | Phys: 0.62 | Val: 1.6270 (57.10%) | Best: 58.13%
Epoch 034 | T: 32s | Train: 0.8437 (72.6%) | Phys: 0.62 | Val: 1.5995 (57.68%) | Best: 58.13%
Epoch 035 | T: 32s | Train: 0.8203 (73.2%) | Phys: 0.62 | Val: 1.5971 (57.75%) | Best: 58.13%
Epoch 036 | T: 32s | Train: 0.8013 (73.7%) | Phys: 0.62 | Val: 1.5671 (58.51%) | Best: 58.51%
Epoch 037 | T: 32s | Train: 0.7830 (74.2%) | Phys: 0.62 | Val: 1.5905 (58.36%) | Best: 58.51%
Epoch 038 | T: 31s | Train: 0.7648 (74.9%) | Phys: 0.62 | Val: 1.5760 (58.15%) | Best: 58.51%
Epoch 039 | T: 32s | Train: 0.7430 (75.6%) | Phys: 0.62 | Val: 1.5441 (58.66%) | Best: 58.66%
Epoch 040 | T: 32s | Train: 0.7257 (76.2%) | Phys: 0.62 | Val: 1.5998 (58.48%) | Best: 58.66%
Epoch 041 | T: 32s | Train: 0.7139 (76.6%) | Phys: 0.62 | Val: 1.5676 (58.62%) | Best: 58.66%
Epoch 042 | T: 32s | Train: 0.6992 (77.0%) | Phys: 0.62 | Val: 1.5667 (59.31%) | Best: 59.31%
Epoch 043 | T: 32s | Train: 0.6854 (77.6%) | Phys: 0.62 | Val: 1.5439 (59.79%) | Best: 59.79%
Epoch 044 | T: 32s | Train: 0.6669 (78.0%) | Phys: 0.62 | Val: 1.5588 (59.07%) | Best: 59.79%
Epoch 045 | T: 32s | Train: 0.6476 (78.6%) | Phys: 0.61 | Val: 1.5506 (59.57%) | Best: 59.79%
Epoch 046 | T: 32s | Train: 0.6340 (79.1%) | Phys: 0.62 | Val: 1.5773 (59.64%) | Best: 59.79%
Epoch 047 | T: 31s | Train: 0.6197 (79.4%) | Phys: 0.61 | Val: 1.5518 (60.17%) | Best: 60.17%
Epoch 048 | T: 32s | Train: 0.6059 (79.8%) | Phys: 0.61 | Val: 1.6043 (59.41%) | Best: 60.17%
Epoch 049 | T: 32s | Train: 0.5953 (80.2%) | Phys: 0.61 | Val: 1.5913 (59.77%) | Best: 60.17%
Epoch 050 | T: 31s | Train: 0.5880 (80.3%) | Phys: 0.61 | Val: 1.5527 (60.27%) | Best: 60.27%
Epoch 051 | T: 32s | Train: 0.5746 (80.9%) | Phys: 0.61 | Val: 1.6074 (60.29%) | Best: 60.29%
Epoch 052 | T: 32s | Train: 0.5681 (81.1%) | Phys: 0.61 | Val: 1.5637 (61.23%) | Best: 61.23%
Epoch 053 | T: 31s | Train: 0.5595 (81.2%) | Phys: 0.61 | Val: 1.5739 (61.00%) | Best: 61.23%
Epoch 054 | T: 32s | Train: 0.5438 (81.9%) | Phys: 0.61 | Val: 1.6004 (60.93%) | Best: 61.23%
