Epoch 001 | T: 32s | Train: 3.7775 (7.3%) | Phys: 0.76 | Val: 3.3879 (19.72%) | Best: 19.72%
Epoch 002 | T: 32s | Train: 3.4836 (13.0%) | Phys: 0.70 | Val: 3.0782 (25.25%) | Best: 25.25%
Epoch 003 | T: 32s | Train: 3.3988 (15.0%) | Phys: 0.68 | Val: 2.9517 (27.11%) | Best: 27.11%
Epoch 004 | T: 32s | Train: 3.3279 (16.7%) | Phys: 0.66 | Val: 2.9084 (28.01%) | Best: 28.01%
Epoch 005 | T: 32s | Train: 3.3316 (16.5%) | Phys: 0.65 | Val: 2.8133 (29.81%) | Best: 29.81%
Epoch 006 | T: 32s | Train: 3.2657 (18.2%) | Phys: 0.65 | Val: 2.7270 (32.87%) | Best: 32.87%
Epoch 007 | T: 31s | Train: 3.2370 (18.9%) | Phys: 0.64 | Val: 2.6559 (34.02%) | Best: 34.02%
Epoch 008 | T: 32s | Train: 3.1703 (20.7%) | Phys: 0.64 | Val: 2.5976 (35.32%) | Best: 35.32%
Epoch 009 | T: 32s | Train: 3.1896 (20.3%) | Phys: 0.64 | Val: 2.5266 (36.15%) | Best: 36.15%
Epoch 010 | T: 32s | Train: 3.1442 (21.2%) | Phys: 0.64 | Val: 2.5171 (36.34%) | Best: 36.34%
Epoch 011 | T: 31s | Train: 3.0906 (22.4%) | Phys: 0.63 | Val: 2.3970 (39.63%) | Best: 39.63%
Epoch 012 | T: 32s | Train: 3.0671 (23.3%) | Phys: 0.63 | Val: 2.3019 (40.90%) | Best: 40.90%
Epoch 013 | T: 32s | Train: 3.0459 (23.6%) | Phys: 0.63 | Val: 2.3288 (41.26%) | Best: 41.26%
Epoch 014 | T: 31s | Train: 3.0560 (23.6%) | Phys: 0.63 | Val: 2.2832 (41.70%) | Best: 41.70%
Epoch 015 | T: 31s | Train: 2.9707 (25.4%) | Phys: 0.63 | Val: 2.2669 (42.58%) | Best: 42.58%
Epoch 016 | T: 32s | Train: 2.9192 (26.6%) | Phys: 0.62 | Val: 2.1902 (44.20%) | Best: 44.20%
Epoch 017 | T: 32s | Train: 2.9257 (26.7%) | Phys: 0.62 | Val: 2.1826 (44.81%) | Best: 44.81%
Epoch 018 | T: 32s | Train: 2.8762 (27.8%) | Phys: 0.62 | Val: 2.1195 (45.99%) | Best: 45.99%
Epoch 019 | T: 32s | Train: 2.9345 (26.1%) | Phys: 0.62 | Val: 2.0682 (46.22%) | Best: 46.22%
Epoch 020 | T: 32s | Train: 2.8302 (28.9%) | Phys: 0.62 | Val: 2.0554 (47.02%) | Best: 47.02%
Epoch 021 | T: 32s | Train: 2.8469 (28.9%) | Phys: 0.61 | Val: 2.0905 (46.98%) | Best: 47.02%
Epoch 022 | T: 32s | Train: 2.7875 (30.0%) | Phys: 0.61 | Val: 2.0570 (47.46%) | Best: 47.46%
Epoch 023 | T: 32s | Train: 2.8008 (30.1%) | Phys: 0.61 | Val: 2.0182 (48.39%) | Best: 48.39%
Epoch 024 | T: 32s | Train: 2.8175 (29.6%) | Phys: 0.61 | Val: 2.0556 (48.36%) | Best: 48.39%
