Epoch 1 | T: 37s | Train: 3.8585 (6.1%) | Phys: 0.00 | Val: 3.6131 (13.88%) | Best: 13.88%
Epoch 2 | T: 39s | Train: 3.6574 (9.2%) | Phys: 0.00 | Val: 3.2959 (20.19%) | Best: 20.19%
Epoch 3 | T: 37s | Train: 3.5778 (11.0%) | Phys: 0.00 | Val: 3.1777 (22.81%) | Best: 22.81%
Epoch 4 | T: 37s | Train: 3.5181 (12.4%) | Phys: 0.00 | Val: 3.0726 (24.68%) | Best: 24.68%
Epoch 5 | T: 37s | Train: 3.4263 (14.0%) | Phys: 0.00 | Val: 2.9215 (29.43%) | Best: 29.43%
Epoch 6 | T: 37s | Train: 3.3413 (16.1%) | Phys: 0.00 | Val: 2.7626 (31.64%) | Best: 31.64%
Epoch 7 | T: 37s | Train: 3.2502 (17.9%) | Phys: 0.00 | Val: 2.5451 (36.59%) | Best: 36.59%
Epoch 8 | T: 37s | Train: 3.1865 (19.5%) | Phys: 0.00 | Val: 2.3575 (40.44%) | Best: 40.44%
Epoch 9 | T: 37s | Train: 3.1738 (20.0%) | Phys: 0.00 | Val: 2.5585 (37.12%) | Best: 40.44%
Epoch 10 | T: 37s | Train: 3.1352 (21.0%) | Phys: 0.00 | Val: 2.3973 (39.91%) | Best: 40.44%
Epoch 11 | T: 36s | Train: 3.1041 (21.8%) | Phys: 0.00 | Val: 2.3727 (39.52%) | Best: 40.44%
Epoch 12 | T: 37s | Train: 3.0767 (22.4%) | Phys: 0.00 | Val: 2.2905 (41.91%) | Best: 41.91%
Epoch 13 | T: 37s | Train: 3.0365 (23.3%) | Phys: 0.00 | Val: 2.1943 (43.88%) | Best: 43.88%
Epoch 14 | T: 37s | Train: 3.0431 (23.3%) | Phys: 0.00 | Val: 2.1250 (44.72%) | Best: 44.72%
Epoch 15 | T: 37s | Train: 3.0141 (23.8%) | Phys: 0.00 | Val: 2.2697 (42.53%) | Best: 44.72%
Epoch 16 | T: 37s | Train: 2.9962 (24.5%) | Phys: 0.00 | Val: 2.1926 (44.75%) | Best: 44.75%
Epoch 17 | T: 37s | Train: 3.0084 (24.4%) | Phys: 0.00 | Val: 2.0937 (45.74%) | Best: 45.74%
Epoch 18 | T: 36s | Train: 2.9584 (25.4%) | Phys: 0.00 | Val: 2.0960 (45.33%) | Best: 45.74%
Epoch 19 | T: 37s | Train: 2.9279 (25.9%) | Phys: 0.00 | Val: 2.1247 (45.57%) | Best: 45.74%
Epoch 20 | T: 38s | Train: 2.9806 (24.8%) | Phys: 0.00 | Val: 2.1247 (45.27%) | Best: 45.74%
Epoch 21 | T: 38s | Train: 2.9570 (25.4%) | Phys: 0.00 | Val: 2.1575 (45.81%) | Best: 45.81%
Epoch 22 | T: 37s | Train: 2.9285 (26.1%) | Phys: 0.00 | Val: 2.0747 (46.35%) | Best: 46.35%
Epoch 23 | T: 37s | Train: 2.9789 (25.0%) | Phys: 0.00 | Val: 2.0977 (47.22%) | Best: 47.22%
Epoch 24 | T: 36s | Train: 2.9588 (25.3%) | Phys: 0.00 | Val: 2.0386 (47.14%) | Best: 47.22%
Epoch 25 | T: 37s | Train: 2.9565 (25.5%) | Phys: 0.00 | Val: 2.0445 (47.47%) | Best: 47.47%
Epoch 26 | T: 37s | Train: 2.9474 (25.6%) | Phys: 0.00 | Val: 2.0832 (47.55%) | Best: 47.55%
Epoch 27 | T: 37s | Train: 2.9270 (26.2%) | Phys: 0.00 | Val: 2.1230 (46.36%) | Best: 47.55%
Epoch 28 | T: 37s | Train: 2.9063 (26.5%) | Phys: 0.00 | Val: 2.0228 (47.76%) | Best: 47.76%
Epoch 29 | T: 37s | Train: 2.8926 (26.9%) | Phys: 0.00 | Val: 2.0289 (47.92%) | Best: 47.92%
Epoch 30 | T: 37s | Train: 2.9193 (26.4%) | Phys: 0.00 | Val: 1.9402 (50.12%) | Best: 50.12%
Epoch 31 | T: 36s | Train: 2.8978 (26.8%) | Phys: 0.00 | Val: 1.9415 (49.74%) | Best: 50.12%
Epoch 32 | T: 37s | Train: 2.8782 (27.3%) | Phys: 0.00 | Val: 1.9941 (48.70%) | Best: 50.12%
Epoch 33 | T: 37s | Train: 2.9164 (26.7%) | Phys: 0.00 | Val: 1.9807 (49.44%) | Best: 50.12%
Epoch 34 | T: 37s | Train: 2.8980 (26.9%) | Phys: 0.00 | Val: 2.0369 (47.74%) | Best: 50.12%
Epoch 35 | T: 37s | Train: 2.8803 (27.3%) | Phys: 0.00 | Val: 2.0138 (49.42%) | Best: 50.12%
Epoch 36 | T: 37s | Train: 2.8596 (27.9%) | Phys: 0.00 | Val: 1.9346 (51.28%) | Best: 51.28%
Epoch 37 | T: 37s | Train: 2.8420 (28.4%) | Phys: 0.00 | Val: 1.8958 (50.76%) | Best: 51.28%
Epoch 38 | T: 37s | Train: 2.8467 (28.1%) | Phys: 0.00 | Val: 1.9069 (51.31%) | Best: 51.31%
Epoch 39 | T: 37s | Train: 2.8527 (28.1%) | Phys: 0.00 | Val: 1.9375 (50.68%) | Best: 51.31%
Epoch 40 | T: 37s | Train: 2.8070 (29.1%) | Phys: 0.00 | Val: 1.8913 (51.74%) | Best: 51.74%
Epoch 41 | T: 37s | Train: 2.8110 (29.1%) | Phys: 0.00 | Val: 1.9181 (50.54%) | Best: 51.74%
Epoch 42 | T: 37s | Train: 2.8501 (28.2%) | Phys: 0.00 | Val: 1.9005 (50.79%) | Best: 51.74%
Epoch 43 | T: 37s | Train: 2.8549 (27.7%) | Phys: 0.00 | Val: 1.9889 (49.26%) | Best: 51.74%
Epoch 44 | T: 37s | Train: 2.8345 (28.4%) | Phys: 0.00 | Val: 1.9162 (51.17%) | Best: 51.74%
Epoch 45 | T: 37s | Train: 2.8692 (27.6%) | Phys: 0.00 | Val: 1.8924 (51.54%) | Best: 51.74%
Epoch 46 | T: 37s | Train: 2.8377 (28.3%) | Phys: 0.00 | Val: 1.9046 (50.59%) | Best: 51.74%
Epoch 47 | T: 37s | Train: 2.7692 (30.0%) | Phys: 0.00 | Val: 1.9109 (51.52%) | Best: 51.74%
Epoch 48 | T: 37s | Train: 2.8778 (27.9%) | Phys: 0.00 | Val: 1.9818 (49.98%) | Best: 51.74%
Epoch 49 | T: 37s | Train: 2.8433 (28.5%) | Phys: 0.00 | Val: 1.9494 (49.92%) | Best: 51.74%
Epoch 50 | T: 37s | Train: 2.7973 (29.3%) | Phys: 0.00 | Val: 1.8369 (52.45%) | Best: 52.45%
Epoch 51 | T: 37s | Train: 2.8295 (28.6%) | Phys: 0.00 | Val: 1.8847 (51.38%) | Best: 52.45%
Epoch 52 | T: 37s | Train: 2.8260 (28.9%) | Phys: 0.00 | Val: 2.0026 (49.61%) | Best: 52.45%
Epoch 53 | T: 37s | Train: 2.8278 (28.6%) | Phys: 0.00 | Val: 1.8309 (52.42%) | Best: 52.45%
Epoch 54 | T: 36s | Train: 2.8149 (28.9%) | Phys: 0.00 | Val: 1.8370 (51.66%) | Best: 52.45%
Epoch 55 | T: 37s | Train: 2.7884 (29.5%) | Phys: 0.00 | Val: 2.0057 (49.17%) | Best: 52.45%
Epoch 56 | T: 37s | Train: 2.8016 (29.2%) | Phys: 0.00 | Val: 1.8368 (52.06%) | Best: 52.45%
Epoch 57 | T: 37s | Train: 2.8354 (28.6%) | Phys: 0.00 | Val: 1.8426 (52.43%) | Best: 52.45%
Epoch 58 | T: 36s | Train: 2.8368 (28.5%) | Phys: 0.00 | Val: 1.8765 (52.40%) | Best: 52.45%
Epoch 59 | T: 37s | Train: 2.8441 (28.7%) | Phys: 0.00 | Val: 1.9184 (50.80%) | Best: 52.45%
Epoch 60 | T: 37s | Train: 2.8602 (28.3%) | Phys: 0.00 | Val: 1.9334 (50.89%) | Best: 52.45%
Epoch 61 | T: 37s | Train: 2.8320 (28.9%) | Phys: 0.00 | Val: 1.8882 (52.36%) | Best: 52.45%
Epoch 62 | T: 36s | Train: 2.7765 (30.1%) | Phys: 0.00 | Val: 1.8086 (53.16%) | Best: 53.16%
Epoch 63 | T: 37s | Train: 2.7820 (30.0%) | Phys: 0.00 | Val: 1.8233 (53.20%) | Best: 53.20%
Epoch 64 | T: 37s | Train: 2.7790 (29.6%) | Phys: 0.00 | Val: 1.8817 (52.06%) | Best: 53.20%
Epoch 65 | T: 37s | Train: 2.7969 (29.4%) | Phys: 0.00 | Val: 1.8935 (51.32%) | Best: 53.20%
Epoch 66 | T: 37s | Train: 2.7685 (29.9%) | Phys: 0.00 | Val: 1.8927 (51.45%) | Best: 53.20%
Epoch 67 | T: 36s | Train: 2.8084 (29.5%) | Phys: 0.00 | Val: 1.8954 (51.69%) | Best: 53.20%
Epoch 68 | T: 37s | Train: 2.8181 (29.1%) | Phys: 0.00 | Val: 1.9154 (50.52%) | Best: 53.20%
Epoch 69 | T: 37s | Train: 2.7883 (29.8%) | Phys: 0.00 | Val: 1.8530 (52.25%) | Best: 53.20%
