Epoch 1 | T: 30s | Train: 4.4109 (3.9%) | Phys: 0.10 | Val: 3.9540 (8.48%) | Best: 8.48%
Epoch 2 | T: 31s | Train: 4.2285 (6.0%) | Phys: 0.05 | Val: 3.7388 (13.14%) | Best: 13.14%
Epoch 3 | T: 30s | Train: 4.1407 (7.5%) | Phys: 0.04 | Val: 3.6273 (15.43%) | Best: 15.43%
Epoch 4 | T: 30s | Train: 4.0744 (8.6%) | Phys: 0.04 | Val: 3.4626 (17.57%) | Best: 17.57%
Epoch 5 | T: 30s | Train: 4.0105 (9.7%) | Phys: 0.04 | Val: 3.3792 (20.46%) | Best: 20.46%
Epoch 6 | T: 30s | Train: 3.9505 (10.8%) | Phys: 0.04 | Val: 3.3006 (20.83%) | Best: 20.83%
Epoch 7 | T: 29s | Train: 3.9105 (11.6%) | Phys: 0.04 | Val: 3.2053 (24.22%) | Best: 24.22%
Epoch 8 | T: 30s | Train: 3.8778 (12.3%) | Phys: 0.04 | Val: 3.0719 (25.09%) | Best: 25.09%
Epoch 9 | T: 29s | Train: 3.8033 (13.5%) | Phys: 0.04 | Val: 2.9801 (27.57%) | Best: 27.57%
Epoch 10 | T: 30s | Train: 3.7859 (13.9%) | Phys: 0.04 | Val: 2.9328 (28.15%) | Best: 28.15%
Epoch 11 | T: 29s | Train: 3.7640 (14.3%) | Phys: 0.04 | Val: 2.9138 (29.11%) | Best: 29.11%
Epoch 12 | T: 30s | Train: 3.7633 (14.5%) | Phys: 0.04 | Val: 2.8983 (29.50%) | Best: 29.50%
Epoch 13 | T: 30s | Train: 3.6926 (15.7%) | Phys: 0.04 | Val: 2.8934 (28.78%) | Best: 29.50%
Epoch 14 | T: 30s | Train: 3.7002 (15.6%) | Phys: 0.04 | Val: 2.7782 (31.74%) | Best: 31.74%
Epoch 15 | T: 29s | Train: 3.6773 (16.0%) | Phys: 0.03 | Val: 2.8052 (31.31%) | Best: 31.74%
Epoch 16 | T: 30s | Train: 3.6710 (16.6%) | Phys: 0.03 | Val: 2.7126 (32.76%) | Best: 32.76%
Epoch 17 | T: 29s | Train: 3.6228 (17.3%) | Phys: 0.03 | Val: 2.6763 (33.83%) | Best: 33.83%
Epoch 18 | T: 30s | Train: 3.6190 (17.5%) | Phys: 0.03 | Val: 2.7371 (32.94%) | Best: 33.83%
