Epoch 1 | T: 42s | Train: 4.2440 (6.1%) | Phys: 0.09 | Val: 3.5622 (14.47%) | Best: 14.47%
Epoch 2 | T: 42s | Train: 4.0014 (9.7%) | Phys: 0.05 | Val: 3.3119 (20.44%) | Best: 20.44%
Epoch 3 | T: 41s | Train: 3.9219 (11.3%) | Phys: 0.05 | Val: 3.2528 (21.78%) | Best: 21.78%
Epoch 4 | T: 42s | Train: 3.8472 (12.6%) | Phys: 0.05 | Val: 3.0269 (25.84%) | Best: 25.84%
Epoch 5 | T: 41s | Train: 3.7913 (13.6%) | Phys: 0.05 | Val: 2.9801 (27.60%) | Best: 27.60%
Epoch 6 | T: 41s | Train: 3.7790 (14.0%) | Phys: 0.05 | Val: 2.8950 (29.24%) | Best: 29.24%
Epoch 7 | T: 41s | Train: 3.6932 (15.7%) | Phys: 0.05 | Val: 2.6469 (33.82%) | Best: 33.82%
Epoch 8 | T: 41s | Train: 3.5743 (18.2%) | Phys: 0.05 | Val: 2.5389 (34.94%) | Best: 34.94%
Epoch 9 | T: 42s | Train: 3.5419 (19.0%) | Phys: 0.05 | Val: 2.4757 (37.23%) | Best: 37.23%
Epoch 10 | T: 42s | Train: 3.5398 (18.9%) | Phys: 0.05 | Val: 2.4986 (37.08%) | Best: 37.23%
Epoch 11 | T: 42s | Train: 3.4726 (20.3%) | Phys: 0.05 | Val: 2.4066 (39.53%) | Best: 39.53%
Epoch 12 | T: 42s | Train: 3.3819 (22.1%) | Phys: 0.05 | Val: 2.3367 (39.64%) | Best: 39.64%
Epoch 13 | T: 41s | Train: 3.3747 (22.5%) | Phys: 0.05 | Val: 2.3370 (40.98%) | Best: 40.98%
Epoch 14 | T: 41s | Train: 3.3463 (23.3%) | Phys: 0.05 | Val: 2.1827 (44.32%) | Best: 44.32%
Epoch 15 | T: 41s | Train: 3.3304 (23.5%) | Phys: 0.05 | Val: 2.1922 (43.95%) | Best: 44.32%
Epoch 16 | T: 41s | Train: 3.3049 (24.0%) | Phys: 0.05 | Val: 2.1635 (45.53%) | Best: 45.53%
Epoch 17 | T: 42s | Train: 3.2512 (25.4%) | Phys: 0.05 | Val: 2.1349 (45.58%) | Best: 45.58%
