Epoch 1 | T: 28s | Train: 4.0098 (3.9%) | Phys: 0.68 | Val: 3.9097 (9.76%) | Best: 9.76%
Epoch 2 | T: 27s | Train: 3.8060 (6.8%) | Phys: 0.62 | Val: 3.6774 (13.55%) | Best: 13.55%
Epoch 3 | T: 27s | Train: 3.7151 (8.3%) | Phys: 0.60 | Val: 3.5369 (16.48%) | Best: 16.48%
Epoch 4 | T: 27s | Train: 3.6722 (9.2%) | Phys: 0.60 | Val: 3.4010 (18.92%) | Best: 18.92%
Epoch 5 | T: 27s | Train: 3.6061 (10.3%) | Phys: 0.59 | Val: 3.3542 (20.06%) | Best: 20.06%
Epoch 6 | T: 27s | Train: 3.5988 (10.8%) | Phys: 0.59 | Val: 3.2294 (20.93%) | Best: 20.93%
Epoch 7 | T: 27s | Train: 3.5395 (11.7%) | Phys: 0.59 | Val: 3.1924 (22.58%) | Best: 22.58%
Epoch 8 | T: 27s | Train: 3.5121 (12.2%) | Phys: 0.59 | Val: 3.0503 (25.73%) | Best: 25.73%
Epoch 9 | T: 27s | Train: 3.5049 (12.7%) | Phys: 0.59 | Val: 3.0873 (24.19%) | Best: 25.73%
Epoch 10 | T: 27s | Train: 3.4621 (13.3%) | Phys: 0.59 | Val: 2.9907 (26.81%) | Best: 26.81%
Epoch 11 | T: 28s | Train: 3.4594 (13.4%) | Phys: 0.59 | Val: 2.9745 (27.18%) | Best: 27.18%
Epoch 12 | T: 27s | Train: 3.3959 (15.0%) | Phys: 0.59 | Val: 2.8886 (28.97%) | Best: 28.97%
Epoch 13 | T: 27s | Train: 3.3954 (15.1%) | Phys: 0.59 | Val: 2.8936 (29.31%) | Best: 29.31%
Epoch 14 | T: 27s | Train: 3.3756 (15.5%) | Phys: 0.59 | Val: 2.7987 (30.05%) | Best: 30.05%
Epoch 15 | T: 27s | Train: 3.3514 (16.0%) | Phys: 0.59 | Val: 2.8639 (29.71%) | Best: 30.05%
Epoch 16 | T: 27s | Train: 3.3222 (16.5%) | Phys: 0.59 | Val: 2.7044 (32.53%) | Best: 32.53%
Epoch 17 | T: 27s | Train: 3.3326 (16.4%) | Phys: 0.59 | Val: 2.7063 (33.01%) | Best: 33.01%
Epoch 18 | T: 27s | Train: 3.2807 (17.7%) | Phys: 0.59 | Val: 2.7001 (32.64%) | Best: 33.01%
Epoch 19 | T: 27s | Train: 3.2729 (17.8%) | Phys: 0.59 | Val: 2.6192 (35.15%) | Best: 35.15%
Epoch 20 | T: 27s | Train: 3.2635 (18.1%) | Phys: 0.59 | Val: 2.6084 (35.83%) | Best: 35.83%
Epoch 21 | T: 27s | Train: 3.2209 (18.9%) | Phys: 0.59 | Val: 2.6083 (35.15%) | Best: 35.83%
Epoch 22 | T: 27s | Train: 3.1587 (20.2%) | Phys: 0.59 | Val: 2.4789 (38.02%) | Best: 38.02%
Epoch 23 | T: 27s | Train: 3.1886 (19.7%) | Phys: 0.59 | Val: 2.5241 (37.52%) | Best: 38.02%
Epoch 24 | T: 27s | Train: 3.1617 (20.4%) | Phys: 0.59 | Val: 2.4071 (39.65%) | Best: 39.65%
Epoch 25 | T: 27s | Train: 3.1834 (20.1%) | Phys: 0.59 | Val: 2.4097 (39.88%) | Best: 39.88%
Epoch 26 | T: 27s | Train: 3.1169 (21.4%) | Phys: 0.59 | Val: 2.3518 (40.37%) | Best: 40.37%
Epoch 27 | T: 27s | Train: 3.0838 (22.5%) | Phys: 0.59 | Val: 2.3305 (40.55%) | Best: 40.55%
Epoch 28 | T: 27s | Train: 3.1119 (21.8%) | Phys: 0.59 | Val: 2.2646 (42.20%) | Best: 42.20%
Epoch 29 | T: 27s | Train: 3.0748 (22.8%) | Phys: 0.59 | Val: 2.2433 (43.54%) | Best: 43.54%
Epoch 30 | T: 27s | Train: 3.0501 (23.2%) | Phys: 0.59 | Val: 2.2462 (42.48%) | Best: 43.54%
Epoch 31 | T: 27s | Train: 3.0590 (22.9%) | Phys: 0.59 | Val: 2.2371 (42.93%) | Best: 43.54%
Epoch 32 | T: 27s | Train: 3.0027 (24.2%) | Phys: 0.59 | Val: 2.1846 (45.43%) | Best: 45.43%
Epoch 33 | T: 27s | Train: 2.9650 (24.9%) | Phys: 0.59 | Val: 2.2394 (43.96%) | Best: 45.43%
Epoch 34 | T: 27s | Train: 3.0113 (24.3%) | Phys: 0.59 | Val: 2.1632 (45.00%) | Best: 45.43%
Epoch 35 | T: 27s | Train: 2.9537 (25.7%) | Phys: 0.59 | Val: 2.1034 (46.44%) | Best: 46.44%
Epoch 36 | T: 27s | Train: 2.9433 (26.1%) | Phys: 0.59 | Val: 2.0294 (47.94%) | Best: 47.94%
