Epoch 1 | T: 39s | Train: 3.8211 (6.6%) | Phys: 0.70 | Val: 3.4228 (19.26%) | Best: 19.26%
Epoch 2 | T: 38s | Train: 3.5648 (11.4%) | Phys: 0.64 | Val: 3.0543 (25.77%) | Best: 25.77%
Epoch 3 | T: 37s | Train: 3.4455 (13.8%) | Phys: 0.63 | Val: 2.8928 (28.85%) | Best: 28.85%
Epoch 4 | T: 38s | Train: 3.3835 (15.2%) | Phys: 0.63 | Val: 2.7620 (29.64%) | Best: 29.64%
Epoch 5 | T: 38s | Train: 3.3288 (16.4%) | Phys: 0.63 | Val: 2.6686 (33.62%) | Best: 33.62%
Epoch 6 | T: 38s | Train: 3.2292 (18.6%) | Phys: 0.63 | Val: 2.5124 (36.54%) | Best: 36.54%
Epoch 7 | T: 38s | Train: 3.1890 (19.4%) | Phys: 0.63 | Val: 2.4933 (37.32%) | Best: 37.32%
Epoch 8 | T: 38s | Train: 3.1362 (20.9%) | Phys: 0.62 | Val: 2.3959 (39.35%) | Best: 39.35%
Epoch 9 | T: 38s | Train: 3.1083 (21.6%) | Phys: 0.62 | Val: 2.3102 (41.20%) | Best: 41.20%
Epoch 10 | T: 37s | Train: 3.0957 (22.2%) | Phys: 0.62 | Val: 2.2818 (41.23%) | Best: 41.23%
Epoch 11 | T: 38s | Train: 3.0486 (23.0%) | Phys: 0.62 | Val: 2.1760 (43.59%) | Best: 43.59%
Epoch 12 | T: 39s | Train: 3.0090 (23.9%) | Phys: 0.62 | Val: 2.2369 (43.04%) | Best: 43.59%
Epoch 13 | T: 38s | Train: 3.0221 (23.7%) | Phys: 0.62 | Val: 2.3149 (41.87%) | Best: 43.59%
Epoch 14 | T: 37s | Train: 2.9957 (24.2%) | Phys: 0.62 | Val: 2.2505 (42.42%) | Best: 43.59%
Epoch 15 | T: 37s | Train: 2.9702 (25.0%) | Phys: 0.62 | Val: 2.2250 (43.92%) | Best: 43.92%
Epoch 16 | T: 38s | Train: 2.9546 (25.4%) | Phys: 0.62 | Val: 2.1153 (45.13%) | Best: 45.13%
Epoch 17 | T: 37s | Train: 2.9598 (25.3%) | Phys: 0.62 | Val: 2.0610 (46.38%) | Best: 46.38%
Epoch 18 | T: 38s | Train: 2.9203 (26.4%) | Phys: 0.62 | Val: 2.0132 (48.01%) | Best: 48.01%
Epoch 19 | T: 38s | Train: 2.9999 (24.5%) | Phys: 0.62 | Val: 2.0933 (46.03%) | Best: 48.01%
Epoch 20 | T: 38s | Train: 2.8673 (27.5%) | Phys: 0.62 | Val: 2.0007 (48.86%) | Best: 48.86%
Epoch 21 | T: 37s | Train: 2.9370 (26.0%) | Phys: 0.62 | Val: 2.0307 (48.52%) | Best: 48.86%
Epoch 22 | T: 37s | Train: 2.8774 (27.2%) | Phys: 0.62 | Val: 1.9882 (48.05%) | Best: 48.86%
Epoch 23 | T: 37s | Train: 2.9308 (26.3%) | Phys: 0.62 | Val: 2.0687 (47.67%) | Best: 48.86%
Epoch 24 | T: 38s | Train: 2.9308 (26.3%) | Phys: 0.62 | Val: 1.9382 (49.76%) | Best: 49.76%
Epoch 25 | T: 38s | Train: 2.8602 (27.9%) | Phys: 0.62 | Val: 1.9273 (50.00%) | Best: 50.00%
Epoch 26 | T: 38s | Train: 2.8921 (27.2%) | Phys: 0.62 | Val: 2.0304 (48.54%) | Best: 50.00%
Epoch 27 | T: 38s | Train: 2.8931 (27.1%) | Phys: 0.62 | Val: 1.9887 (49.10%) | Best: 50.00%
Epoch 28 | T: 38s | Train: 2.8957 (27.0%) | Phys: 0.62 | Val: 1.9542 (49.27%) | Best: 50.00%
Epoch 29 | T: 38s | Train: 2.8425 (28.1%) | Phys: 0.62 | Val: 1.9325 (49.63%) | Best: 50.00%
Epoch 30 | T: 37s | Train: 2.8415 (28.3%) | Phys: 0.62 | Val: 1.8667 (51.77%) | Best: 51.77%
Epoch 31 | T: 38s | Train: 2.8272 (28.6%) | Phys: 0.62 | Val: 1.9179 (51.14%) | Best: 51.77%
Epoch 32 | T: 38s | Train: 2.8532 (28.2%) | Phys: 0.62 | Val: 1.8674 (51.32%) | Best: 51.77%
Epoch 33 | T: 38s | Train: 2.8694 (27.8%) | Phys: 0.62 | Val: 1.9069 (50.20%) | Best: 51.77%
Epoch 34 | T: 38s | Train: 2.8004 (29.3%) | Phys: 0.62 | Val: 1.8800 (51.02%) | Best: 51.77%
Epoch 35 | T: 38s | Train: 2.8113 (29.3%) | Phys: 0.62 | Val: 1.9334 (50.62%) | Best: 51.77%
Epoch 36 | T: 38s | Train: 2.8497 (28.5%) | Phys: 0.62 | Val: 1.9563 (50.35%) | Best: 51.77%
Epoch 37 | T: 38s | Train: 2.8111 (29.2%) | Phys: 0.62 | Val: 1.9641 (49.39%) | Best: 51.77%
Epoch 38 | T: 38s | Train: 2.7862 (29.8%) | Phys: 0.62 | Val: 1.8073 (52.50%) | Best: 52.50%
Epoch 39 | T: 38s | Train: 2.8293 (28.8%) | Phys: 0.62 | Val: 1.8632 (52.07%) | Best: 52.50%
Epoch 40 | T: 38s | Train: 2.8058 (29.4%) | Phys: 0.62 | Val: 1.8868 (51.83%) | Best: 52.50%
Epoch 41 | T: 38s | Train: 2.7547 (30.4%) | Phys: 0.62 | Val: 1.8688 (51.12%) | Best: 52.50%
Epoch 42 | T: 38s | Train: 2.8267 (28.8%) | Phys: 0.62 | Val: 1.8734 (52.95%) | Best: 52.95%
Epoch 43 | T: 37s | Train: 2.7835 (29.7%) | Phys: 0.62 | Val: 1.7804 (53.75%) | Best: 53.75%
Epoch 44 | T: 37s | Train: 2.7950 (29.4%) | Phys: 0.62 | Val: 1.8299 (52.71%) | Best: 53.75%
Epoch 45 | T: 38s | Train: 2.7555 (30.4%) | Phys: 0.62 | Val: 1.8650 (52.27%) | Best: 53.75%
Epoch 46 | T: 38s | Train: 2.7906 (30.0%) | Phys: 0.62 | Val: 1.8559 (52.25%) | Best: 53.75%
Epoch 47 | T: 38s | Train: 2.7977 (29.5%) | Phys: 0.62 | Val: 1.8440 (52.76%) | Best: 53.75%
Epoch 48 | T: 38s | Train: 2.7869 (29.9%) | Phys: 0.62 | Val: 1.8685 (52.44%) | Best: 53.75%
Epoch 49 | T: 37s | Train: 2.7850 (30.1%) | Phys: 0.62 | Val: 1.7538 (53.73%) | Best: 53.75%
Epoch 50 | T: 36s | Train: 2.7525 (30.7%) | Phys: 0.62 | Val: 1.8348 (52.89%) | Best: 53.75%
Epoch 51 | T: 38s | Train: 2.8068 (29.3%) | Phys: 0.62 | Val: 1.8353 (52.49%) | Best: 53.75%
Epoch 52 | T: 37s | Train: 2.7650 (30.6%) | Phys: 0.62 | Val: 1.8017 (53.08%) | Best: 53.75%
Epoch 53 | T: 38s | Train: 2.7555 (30.7%) | Phys: 0.62 | Val: 1.8108 (54.01%) | Best: 54.01%
Epoch 54 | T: 38s | Train: 2.8423 (28.6%) | Phys: 0.62 | Val: 1.8303 (52.69%) | Best: 54.01%
Epoch 55 | T: 38s | Train: 2.7619 (30.4%) | Phys: 0.62 | Val: 1.7635 (54.02%) | Best: 54.02%
Epoch 56 | T: 38s | Train: 2.7513 (30.6%) | Phys: 0.62 | Val: 1.7891 (53.08%) | Best: 54.02%
Epoch 57 | T: 38s | Train: 2.7529 (30.5%) | Phys: 0.62 | Val: 1.8034 (53.40%) | Best: 54.02%
Epoch 58 | T: 38s | Train: 2.8076 (29.4%) | Phys: 0.62 | Val: 1.8009 (53.61%) | Best: 54.02%
Epoch 59 | T: 38s | Train: 2.8065 (29.5%) | Phys: 0.62 | Val: 1.8184 (53.01%) | Best: 54.02%
Epoch 60 | T: 38s | Train: 2.7548 (30.7%) | Phys: 0.62 | Val: 1.7643 (53.98%) | Best: 54.02%
Epoch 61 | T: 37s | Train: 2.7487 (30.8%) | Phys: 0.62 | Val: 1.7790 (54.33%) | Best: 54.33%
Epoch 62 | T: 37s | Train: 2.7520 (30.6%) | Phys: 0.62 | Val: 1.7840 (53.38%) | Best: 54.33%
Epoch 63 | T: 38s | Train: 2.7864 (30.0%) | Phys: 0.62 | Val: 1.8805 (52.56%) | Best: 54.33%
Epoch 64 | T: 38s | Train: 2.7453 (30.8%) | Phys: 0.62 | Val: 1.8187 (52.80%) | Best: 54.33%
Epoch 65 | T: 38s | Train: 2.7826 (29.9%) | Phys: 0.62 | Val: 1.8215 (53.03%) | Best: 54.33%
Epoch 66 | T: 38s | Train: 2.7761 (30.0%) | Phys: 0.62 | Val: 1.7511 (54.85%) | Best: 54.85%
Epoch 67 | T: 38s | Train: 2.7623 (30.5%) | Phys: 0.62 | Val: 1.8101 (53.62%) | Best: 54.85%
Epoch 68 | T: 38s | Train: 2.7691 (30.4%) | Phys: 0.62 | Val: 1.8397 (53.63%) | Best: 54.85%
Epoch 69 | T: 38s | Train: 2.7466 (30.8%) | Phys: 0.62 | Val: 1.7729 (53.76%) | Best: 54.85%
Epoch 70 | T: 37s | Train: 2.7650 (30.3%) | Phys: 0.62 | Val: 1.8417 (52.26%) | Best: 54.85%
Epoch 71 | T: 38s | Train: 2.7646 (30.5%) | Phys: 0.62 | Val: 1.7915 (54.26%) | Best: 54.85%
Epoch 72 | T: 38s | Train: 2.7776 (29.9%) | Phys: 0.62 | Val: 1.7699 (54.52%) | Best: 54.85%
Epoch 73 | T: 37s | Train: 2.7479 (30.9%) | Phys: 0.62 | Val: 1.7627 (54.41%) | Best: 54.85%
Epoch 74 | T: 38s | Train: 2.7769 (30.2%) | Phys: 0.62 | Val: 1.7332 (55.59%) | Best: 55.59%
Epoch 75 | T: 37s | Train: 2.7405 (30.9%) | Phys: 0.62 | Val: 1.7078 (55.43%) | Best: 55.59%
Epoch 76 | T: 38s | Train: 2.7815 (30.3%) | Phys: 0.62 | Val: 1.8160 (54.34%) | Best: 55.59%
Epoch 77 | T: 38s | Train: 2.7261 (31.4%) | Phys: 0.62 | Val: 1.7726 (53.94%) | Best: 55.59%
Epoch 78 | T: 38s | Train: 2.7447 (31.3%) | Phys: 0.62 | Val: 1.7559 (54.42%) | Best: 55.59%
Epoch 79 | T: 38s | Train: 2.6654 (32.9%) | Phys: 0.62 | Val: 1.6884 (55.55%) | Best: 55.59%
Epoch 80 | T: 38s | Train: 2.7200 (31.6%) | Phys: 0.62 | Val: 1.7542 (54.77%) | Best: 55.59%
Epoch 81 | T: 38s | Train: 2.7101 (31.9%) | Phys: 0.62 | Val: 1.7349 (54.90%) | Best: 55.59%
Epoch 82 | T: 38s | Train: 2.7434 (31.2%) | Phys: 0.62 | Val: 1.7460 (54.99%) | Best: 55.59%
Epoch 83 | T: 38s | Train: 2.7734 (30.5%) | Phys: 0.62 | Val: 1.7702 (53.80%) | Best: 55.59%
Epoch 84 | T: 37s | Train: 2.7520 (30.8%) | Phys: 0.62 | Val: 1.7348 (54.70%) | Best: 55.59%
Epoch 85 | T: 38s | Train: 2.6952 (32.0%) | Phys: 0.62 | Val: 1.6832 (56.30%) | Best: 56.30%
Epoch 86 | T: 38s | Train: 2.6861 (32.4%) | Phys: 0.62 | Val: 1.7256 (54.90%) | Best: 56.30%
Epoch 87 | T: 38s | Train: 2.7500 (30.9%) | Phys: 0.62 | Val: 1.7428 (54.41%) | Best: 56.30%
Epoch 88 | T: 38s | Train: 2.7059 (31.9%) | Phys: 0.62 | Val: 1.7235 (55.05%) | Best: 56.30%
Epoch 89 | T: 38s | Train: 2.7383 (31.5%) | Phys: 0.62 | Val: 1.6860 (55.91%) | Best: 56.30%
Epoch 90 | T: 38s | Train: 2.6947 (32.2%) | Phys: 0.62 | Val: 1.7455 (54.61%) | Best: 56.30%
Epoch 91 | T: 37s | Train: 2.7341 (31.4%) | Phys: 0.62 | Val: 1.6876 (56.15%) | Best: 56.30%
Epoch 92 | T: 38s | Train: 2.6818 (32.6%) | Phys: 0.62 | Val: 1.7520 (55.55%) | Best: 56.30%
Epoch 93 | T: 36s | Train: 2.6982 (32.2%) | Phys: 0.62 | Val: 1.7693 (54.95%) | Best: 56.30%
Epoch 94 | T: 37s | Train: 2.7253 (31.5%) | Phys: 0.62 | Val: 1.7089 (55.91%) | Best: 56.30%
Epoch 95 | T: 37s | Train: 2.7244 (31.5%) | Phys: 0.62 | Val: 1.7433 (54.73%) | Best: 56.30%
Epoch 96 | T: 38s | Train: 2.7021 (32.2%) | Phys: 0.62 | Val: 1.7221 (55.68%) | Best: 56.30%
Epoch 97 | T: 37s | Train: 2.6992 (32.0%) | Phys: 0.62 | Val: 1.6830 (56.06%) | Best: 56.30%
Epoch 98 | T: 38s | Train: 2.7391 (31.4%) | Phys: 0.62 | Val: 1.7159 (55.84%) | Best: 56.30%
Epoch 99 | T: 38s | Train: 2.7294 (31.9%) | Phys: 0.62 | Val: 1.7146 (55.82%) | Best: 56.30%
Epoch 100 | T: 38s | Train: 2.7534 (30.6%) | Phys: 0.62 | Val: 1.7301 (54.97%) | Best: 56.30%
Epoch 101 | T: 38s | Train: 2.6956 (32.3%) | Phys: 0.62 | Val: 1.7290 (55.62%) | Best: 56.30%
Epoch 102 | T: 37s | Train: 2.6747 (32.8%) | Phys: 0.62 | Val: 1.7146 (56.01%) | Best: 56.30%
Epoch 103 | T: 38s | Train: 2.7210 (31.7%) | Phys: 0.62 | Val: 1.6719 (56.24%) | Best: 56.30%
Epoch 104 | T: 38s | Train: 2.7172 (31.7%) | Phys: 0.62 | Val: 1.7184 (56.68%) | Best: 56.68%
Epoch 105 | T: 38s | Train: 2.6667 (33.0%) | Phys: 0.62 | Val: 1.6577 (56.65%) | Best: 56.68%
Epoch 106 | T: 38s | Train: 2.6819 (32.6%) | Phys: 0.62 | Val: 1.7459 (54.74%) | Best: 56.68%
Epoch 107 | T: 38s | Train: 2.7232 (31.6%) | Phys: 0.62 | Val: 1.7758 (55.17%) | Best: 56.68%
Epoch 108 | T: 38s | Train: 2.7023 (32.2%) | Phys: 0.62 | Val: 1.6921 (55.71%) | Best: 56.68%
Epoch 109 | T: 38s | Train: 2.7172 (31.7%) | Phys: 0.62 | Val: 1.6794 (56.07%) | Best: 56.68%
Epoch 110 | T: 37s | Train: 2.7591 (31.0%) | Phys: 0.62 | Val: 1.7164 (55.42%) | Best: 56.68%
Epoch 111 | T: 38s | Train: 2.6903 (32.6%) | Phys: 0.62 | Val: 1.6724 (56.53%) | Best: 56.68%
Epoch 112 | T: 38s | Train: 2.6804 (32.8%) | Phys: 0.62 | Val: 1.6466 (56.90%) | Best: 56.90%
Epoch 113 | T: 38s | Train: 2.7082 (32.0%) | Phys: 0.62 | Val: 1.7239 (55.42%) | Best: 56.90%
Epoch 114 | T: 37s | Train: 2.6490 (33.3%) | Phys: 0.62 | Val: 1.6790 (57.26%) | Best: 57.26%
Epoch 115 | T: 38s | Train: 2.6761 (33.0%) | Phys: 0.62 | Val: 1.6647 (56.81%) | Best: 57.26%
Epoch 116 | T: 38s | Train: 2.6959 (32.3%) | Phys: 0.62 | Val: 1.7568 (54.75%) | Best: 57.26%
Epoch 117 | T: 38s | Train: 2.6894 (32.4%) | Phys: 0.62 | Val: 1.7148 (56.51%) | Best: 57.26%
