Epoch 1 | T: 18s | Train: 4.1441 (1.2%) | Phys: 0.00 | Val: 4.5991 (2.35%) | Best: 2.35%
Epoch 2 | T: 17s | Train: 4.1154 (2.2%) | Phys: 0.00 | Val: 4.3972 (3.51%) | Best: 3.51%
Epoch 3 | T: 18s | Train: 3.9977 (3.4%) | Phys: 0.00 | Val: 4.1849 (5.72%) | Best: 5.72%
Epoch 4 | T: 17s | Train: 3.9431 (4.3%) | Phys: 0.00 | Val: 4.0917 (7.39%) | Best: 7.39%
Epoch 5 | T: 17s | Train: 3.9198 (4.7%) | Phys: 0.00 | Val: 3.9998 (8.38%) | Best: 8.38%
Epoch 6 | T: 17s | Train: 3.8885 (5.5%) | Phys: 0.00 | Val: 3.9636 (9.37%) | Best: 9.37%
Epoch 7 | T: 17s | Train: 3.8802 (5.5%) | Phys: 0.00 | Val: 3.9422 (9.89%) | Best: 9.89%
Epoch 8 | T: 17s | Train: 3.8548 (5.9%) | Phys: 0.00 | Val: 3.8787 (11.02%) | Best: 11.02%
Epoch 9 | T: 17s | Train: 3.8308 (6.6%) | Phys: 0.00 | Val: 3.8704 (10.45%) | Best: 11.02%
Epoch 10 | T: 17s | Train: 3.8293 (6.6%) | Phys: 0.00 | Val: 3.8017 (12.26%) | Best: 12.26%
Epoch 11 | T: 17s | Train: 3.8115 (6.9%) | Phys: 0.00 | Val: 3.7937 (12.35%) | Best: 12.35%
Epoch 12 | T: 17s | Train: 3.7993 (7.1%) | Phys: 0.00 | Val: 3.7499 (13.18%) | Best: 13.18%
Epoch 13 | T: 17s | Train: 3.7808 (7.5%) | Phys: 0.00 | Val: 3.7353 (13.99%) | Best: 13.99%
Epoch 14 | T: 17s | Train: 3.7700 (7.8%) | Phys: 0.00 | Val: 3.7201 (13.70%) | Best: 13.99%
Epoch 15 | T: 17s | Train: 3.7643 (7.9%) | Phys: 0.00 | Val: 3.7241 (14.37%) | Best: 14.37%
Epoch 16 | T: 17s | Train: 3.7575 (8.0%) | Phys: 0.00 | Val: 3.6907 (14.29%) | Best: 14.37%
Epoch 17 | T: 17s | Train: 3.7439 (8.3%) | Phys: 0.00 | Val: 3.6766 (15.01%) | Best: 15.01%
Epoch 18 | T: 17s | Train: 3.7284 (8.6%) | Phys: 0.00 | Val: 3.6519 (15.30%) | Best: 15.30%
Epoch 19 | T: 17s | Train: 3.7085 (8.8%) | Phys: 0.00 | Val: 3.6680 (15.37%) | Best: 15.37%
Epoch 20 | T: 17s | Train: 3.7088 (9.0%) | Phys: 0.00 | Val: 3.6631 (15.55%) | Best: 15.55%
Epoch 21 | T: 17s | Train: 3.7061 (9.2%) | Phys: 0.00 | Val: 3.6660 (15.68%) | Best: 15.68%
Epoch 22 | T: 17s | Train: 3.7038 (9.1%) | Phys: 0.00 | Val: 3.6452 (16.41%) | Best: 16.41%
Epoch 23 | T: 17s | Train: 3.6900 (9.4%) | Phys: 0.00 | Val: 3.6492 (15.77%) | Best: 16.41%
Epoch 24 | T: 17s | Train: 3.7006 (9.2%) | Phys: 0.00 | Val: 3.5965 (16.63%) | Best: 16.63%
Epoch 25 | T: 17s | Train: 3.6754 (9.5%) | Phys: 0.00 | Val: 3.5661 (16.66%) | Best: 16.66%
Epoch 26 | T: 17s | Train: 3.6867 (9.5%) | Phys: 0.00 | Val: 3.6090 (16.08%) | Best: 16.66%
Epoch 27 | T: 17s | Train: 3.6664 (9.7%) | Phys: 0.00 | Val: 3.5299 (17.46%) | Best: 17.46%
Epoch 28 | T: 17s | Train: 3.6894 (9.5%) | Phys: 0.00 | Val: 3.5788 (16.95%) | Best: 17.46%
Epoch 29 | T: 17s | Train: 3.6640 (9.8%) | Phys: 0.00 | Val: 3.5727 (17.88%) | Best: 17.88%
Epoch 30 | T: 17s | Train: 3.6563 (10.0%) | Phys: 0.00 | Val: 3.5365 (18.20%) | Best: 18.20%
Epoch 31 | T: 17s | Train: 3.6586 (10.3%) | Phys: 0.00 | Val: 3.5355 (18.46%) | Best: 18.46%
Epoch 32 | T: 17s | Train: 3.6359 (10.5%) | Phys: 0.00 | Val: 3.5168 (19.03%) | Best: 19.03%
Epoch 33 | T: 17s | Train: 3.6423 (10.4%) | Phys: 0.00 | Val: 3.5034 (17.82%) | Best: 19.03%
Epoch 34 | T: 17s | Train: 3.6460 (10.3%) | Phys: 0.00 | Val: 3.5263 (18.41%) | Best: 19.03%
Epoch 35 | T: 17s | Train: 3.6279 (10.7%) | Phys: 0.00 | Val: 3.4878 (18.92%) | Best: 19.03%
Epoch 36 | T: 17s | Train: 3.6075 (10.9%) | Phys: 0.00 | Val: 3.4282 (19.51%) | Best: 19.51%
Epoch 37 | T: 17s | Train: 3.6276 (10.8%) | Phys: 0.00 | Val: 3.5149 (19.01%) | Best: 19.51%
Epoch 38 | T: 17s | Train: 3.6302 (10.7%) | Phys: 0.00 | Val: 3.4647 (18.96%) | Best: 19.51%
Epoch 39 | T: 17s | Train: 3.6118 (11.1%) | Phys: 0.00 | Val: 3.5200 (18.44%) | Best: 19.51%
Epoch 40 | T: 17s | Train: 3.6335 (10.5%) | Phys: 0.00 | Val: 3.4792 (19.58%) | Best: 19.58%
Epoch 41 | T: 17s | Train: 3.6164 (10.8%) | Phys: 0.00 | Val: 3.5130 (18.98%) | Best: 19.58%
Epoch 42 | T: 17s | Train: 3.6064 (11.1%) | Phys: 0.00 | Val: 3.4558 (19.39%) | Best: 19.58%
Epoch 43 | T: 17s | Train: 3.6164 (10.9%) | Phys: 0.00 | Val: 3.4268 (20.67%) | Best: 20.67%
Epoch 44 | T: 17s | Train: 3.6178 (11.1%) | Phys: 0.00 | Val: 3.4723 (19.31%) | Best: 20.67%
Epoch 45 | T: 17s | Train: 3.6091 (11.2%) | Phys: 0.00 | Val: 3.4869 (19.62%) | Best: 20.67%
Epoch 46 | T: 17s | Train: 3.6040 (11.1%) | Phys: 0.00 | Val: 3.4187 (20.72%) | Best: 20.72%
Epoch 47 | T: 17s | Train: 3.6046 (11.4%) | Phys: 0.00 | Val: 3.4017 (21.87%) | Best: 21.87%
