Training on device: cuda
==> Preparing data with Strong Augmentation...
Starting training for 400 epochs with RandAugment + Mixup/CutMix...
Epoch 1 | T: 11s | Train: 4.4841 (2.0%) | Phys: 0.30 | Val: 4.3485 (3.65%) | Best: 3.65%
Epoch 2 | T: 11s | Train: 4.1822 (4.6%) | Phys: 0.15 | Val: 4.1154 (6.32%) | Best: 6.32%
Epoch 3 | T: 11s | Train: 4.0069 (7.0%) | Phys: 0.12 | Val: 3.9621 (7.96%) | Best: 7.96%
Epoch 4 | T: 11s | Train: 3.8848 (8.6%) | Phys: 0.10 | Val: 3.8756 (9.23%) | Best: 9.23%
Epoch 5 | T: 11s | Train: 3.8118 (9.6%) | Phys: 0.09 | Val: 3.8475 (9.71%) | Best: 9.71%
Epoch 6 | T: 11s | Train: 3.7540 (10.7%) | Phys: 0.09 | Val: 3.7909 (10.32%) | Best: 10.32%
Epoch 7 | T: 11s | Train: 3.6935 (11.7%) | Phys: 0.08 | Val: 3.7446 (11.70%) | Best: 11.70%
Epoch 8 | T: 11s | Train: 3.6391 (12.9%) | Phys: 0.08 | Val: 3.7009 (12.17%) | Best: 12.17%
Epoch 9 | T: 11s | Train: 3.5882 (13.6%) | Phys: 0.08 | Val: 3.6702 (13.17%) | Best: 13.17%
Epoch 10 | T: 11s | Train: 3.5449 (14.6%) | Phys: 0.08 | Val: 3.6267 (14.01%) | Best: 14.01%
Epoch 11 | T: 11s | Train: 3.5048 (15.2%) | Phys: 0.07 | Val: 3.6193 (14.27%) | Best: 14.27%
Epoch 12 | T: 11s | Train: 3.4701 (15.7%) | Phys: 0.07 | Val: 3.5731 (15.34%) | Best: 15.34%
Epoch 13 | T: 11s | Train: 3.4347 (16.5%) | Phys: 0.07 | Val: 3.5570 (15.55%) | Best: 15.55%
Epoch 14 | T: 11s | Train: 3.4055 (17.0%) | Phys: 0.07 | Val: 3.5487 (15.72%) | Best: 15.72%
Epoch 15 | T: 11s | Train: 3.3717 (17.4%) | Phys: 0.07 | Val: 3.5197 (16.40%) | Best: 16.40%
Epoch 16 | T: 11s | Train: 3.3403 (18.1%) | Phys: 0.07 | Val: 3.5094 (15.93%) | Best: 16.40%
Epoch 17 | T: 11s | Train: 3.3112 (18.6%) | Phys: 0.07 | Val: 3.4745 (17.03%) | Best: 17.03%
Epoch 18 | T: 11s | Train: 3.2851 (19.2%) | Phys: 0.06 | Val: 3.4631 (16.87%) | Best: 17.03%
Epoch 19 | T: 11s | Train: 3.2556 (19.7%) | Phys: 0.06 | Val: 3.4617 (17.44%) | Best: 17.44%
Epoch 20 | T: 11s | Train: 3.2305 (20.1%) | Phys: 0.06 | Val: 3.4545 (17.24%) | Best: 17.44%
Epoch 21 | T: 11s | Train: 3.2079 (20.6%) | Phys: 0.06 | Val: 3.4114 (18.06%) | Best: 18.06%
Epoch 22 | T: 11s | Train: 3.1810 (21.1%) | Phys: 0.06 | Val: 3.3882 (18.63%) | Best: 18.63%
Epoch 23 | T: 11s | Train: 3.1587 (21.4%) | Phys: 0.06 | Val: 3.3941 (18.68%) | Best: 18.68%
Epoch 24 | T: 11s | Train: 3.1397 (22.0%) | Phys: 0.06 | Val: 3.3995 (18.59%) | Best: 18.68%
Epoch 25 | T: 11s | Train: 3.1140 (22.6%) | Phys: 0.06 | Val: 3.3579 (19.60%) | Best: 19.60%
Epoch 26 | T: 11s | Train: 3.0945 (22.8%) | Phys: 0.06 | Val: 3.3584 (19.45%) | Best: 19.60%
Epoch 27 | T: 11s | Train: 3.0790 (23.3%) | Phys: 0.06 | Val: 3.3724 (19.06%) | Best: 19.60%
Epoch 28 | T: 11s | Train: 3.0611 (23.6%) | Phys: 0.06 | Val: 3.3570 (19.17%) | Best: 19.60%
Epoch 29 | T: 11s | Train: 3.0384 (24.0%) | Phys: 0.06 | Val: 3.3761 (18.78%) | Best: 19.60%
Epoch 30 | T: 11s | Train: 3.0213 (24.0%) | Phys: 0.06 | Val: 3.3365 (19.84%) | Best: 19.84%
