Epoch 1 | T: 19s | Train: 4.5508 (1.3%) | Phys: 0.33 | Val: 4.5239 (2.30%) | Best: 2.30%
Epoch 2 | T: 19s | Train: 4.5200 (1.8%) | Phys: 0.17 | Val: 4.4048 (3.24%) | Best: 3.24%
Epoch 3 | T: 19s | Train: 4.4558 (2.4%) | Phys: 0.13 | Val: 4.2692 (3.96%) | Best: 3.96%
Epoch 4 | T: 19s | Train: 4.4151 (3.1%) | Phys: 0.11 | Val: 4.1996 (5.53%) | Best: 5.53%
Epoch 5 | T: 19s | Train: 4.3776 (3.6%) | Phys: 0.10 | Val: 4.1133 (6.36%) | Best: 6.36%
Epoch 6 | T: 19s | Train: 4.3421 (4.2%) | Phys: 0.10 | Val: 4.0502 (7.36%) | Best: 7.36%
Epoch 7 | T: 19s | Train: 4.3210 (4.5%) | Phys: 0.09 | Val: 4.0155 (7.83%) | Best: 7.83%
Epoch 8 | T: 19s | Train: 4.3037 (4.9%) | Phys: 0.09 | Val: 3.9932 (7.78%) | Best: 7.83%
Epoch 9 | T: 19s | Train: 4.2932 (5.0%) | Phys: 0.08 | Val: 3.9408 (8.93%) | Best: 8.93%
Epoch 10 | T: 19s | Train: 4.2853 (5.0%) | Phys: 0.08 | Val: 3.9339 (9.27%) | Best: 9.27%
Epoch 11 | T: 19s | Train: 4.2600 (5.4%) | Phys: 0.08 | Val: 3.8905 (9.85%) | Best: 9.85%
Epoch 12 | T: 19s | Train: 4.2688 (5.6%) | Phys: 0.08 | Val: 3.8820 (10.57%) | Best: 10.57%
Epoch 13 | T: 19s | Train: 4.2426 (6.0%) | Phys: 0.07 | Val: 3.8790 (11.20%) | Best: 11.20%
Epoch 14 | T: 19s | Train: 4.2413 (6.1%) | Phys: 0.07 | Val: 3.8228 (11.57%) | Best: 11.57%
Epoch 15 | T: 18s | Train: 4.2176 (6.4%) | Phys: 0.07 | Val: 3.8159 (11.89%) | Best: 11.89%
Epoch 16 | T: 19s | Train: 4.2145 (6.4%) | Phys: 0.07 | Val: 3.8132 (12.35%) | Best: 12.35%
Epoch 17 | T: 19s | Train: 4.1946 (6.8%) | Phys: 0.07 | Val: 3.7966 (12.29%) | Best: 12.35%
Epoch 18 | T: 19s | Train: 4.1916 (6.7%) | Phys: 0.07 | Val: 3.7579 (12.82%) | Best: 12.82%
Epoch 19 | T: 19s | Train: 4.1859 (7.0%) | Phys: 0.07 | Val: 3.7692 (12.92%) | Best: 12.92%
Epoch 20 | T: 18s | Train: 4.1820 (7.1%) | Phys: 0.07 | Val: 3.7766 (12.83%) | Best: 12.92%
