Epoch 001 | T: 22s | Train: 4.2674 (5.3%) | Phys: 0.00 | Val: 3.8380 (9.31%) | Best: 9.31%
Epoch 002 | T: 21s | Train: 4.0147 (8.7%) | Phys: 0.00 | Val: 3.5303 (16.33%) | Best: 16.33%
Epoch 003 | T: 21s | Train: 3.8255 (12.7%) | Phys: 0.00 | Val: 3.1762 (22.42%) | Best: 22.42%
Epoch 004 | T: 21s | Train: 3.6367 (16.3%) | Phys: 0.00 | Val: 2.9784 (25.67%) | Best: 25.67%
Epoch 005 | T: 21s | Train: 3.4603 (20.0%) | Phys: 0.00 | Val: 3.0577 (25.31%) | Best: 25.67%
Epoch 006 | T: 21s | Train: 3.3640 (22.1%) | Phys: 0.00 | Val: 2.4932 (36.10%) | Best: 36.10%
Epoch 007 | T: 21s | Train: 3.1980 (25.8%) | Phys: 0.00 | Val: 2.2807 (40.03%) | Best: 40.03%
Epoch 008 | T: 21s | Train: 3.1281 (27.5%) | Phys: 0.00 | Val: 2.4255 (37.24%) | Best: 40.03%
Epoch 009 | T: 21s | Train: 3.0527 (29.3%) | Phys: 0.00 | Val: 2.1696 (43.45%) | Best: 43.45%
Epoch 010 | T: 21s | Train: 3.0051 (30.4%) | Phys: 0.00 | Val: 2.1497 (44.18%) | Best: 44.18%
Epoch 011 | T: 21s | Train: 2.9709 (31.9%) | Phys: 0.00 | Val: 2.0067 (47.21%) | Best: 47.21%
Epoch 012 | T: 21s | Train: 2.9077 (33.2%) | Phys: 0.00 | Val: 1.9790 (47.44%) | Best: 47.44%
Epoch 013 | T: 21s | Train: 2.8269 (34.9%) | Phys: 0.00 | Val: 2.0510 (46.17%) | Best: 47.44%
Epoch 014 | T: 21s | Train: 2.8174 (35.2%) | Phys: 0.00 | Val: 1.9600 (49.23%) | Best: 49.23%
Epoch 015 | T: 21s | Train: 2.7645 (36.7%) | Phys: 0.00 | Val: 2.0519 (46.33%) | Best: 49.23%
Epoch 016 | T: 21s | Train: 2.8040 (36.1%) | Phys: 0.00 | Val: 1.8453 (52.22%) | Best: 52.22%
Epoch 017 | T: 21s | Train: 2.7586 (36.8%) | Phys: 0.00 | Val: 1.7228 (53.56%) | Best: 53.56%
Epoch 018 | T: 21s | Train: 2.7088 (38.4%) | Phys: 0.00 | Val: 1.7926 (52.24%) | Best: 53.56%
Epoch 019 | T: 21s | Train: 2.6890 (38.7%) | Phys: 0.00 | Val: 1.8181 (52.24%) | Best: 53.56%
Epoch 020 | T: 21s | Train: 2.6982 (38.8%) | Phys: 0.00 | Val: 1.8376 (52.35%) | Best: 53.56%
Epoch 021 | T: 21s | Train: 2.7303 (38.0%) | Phys: 0.00 | Val: 1.8771 (52.13%) | Best: 53.56%
Epoch 022 | T: 21s | Train: 2.7323 (38.1%) | Phys: 0.00 | Val: 1.7258 (54.74%) | Best: 54.74%
Epoch 023 | T: 21s | Train: 2.7163 (38.3%) | Phys: 0.00 | Val: 1.9301 (51.48%) | Best: 54.74%
Epoch 024 | T: 21s | Train: 2.6656 (39.3%) | Phys: 0.00 | Val: 1.7342 (55.46%) | Best: 55.46%
Epoch 025 | T: 21s | Train: 2.6225 (40.5%) | Phys: 0.00 | Val: 1.7600 (53.46%) | Best: 55.46%
Epoch 026 | T: 21s | Train: 2.6535 (39.8%) | Phys: 0.00 | Val: 1.8945 (50.90%) | Best: 55.46%
Epoch 027 | T: 21s | Train: 2.6590 (39.7%) | Phys: 0.00 | Val: 1.7138 (55.24%) | Best: 55.46%
Epoch 028 | T: 21s | Train: 2.6498 (40.0%) | Phys: 0.00 | Val: 1.7896 (54.19%) | Best: 55.46%
Epoch 029 | T: 21s | Train: 2.6416 (40.1%) | Phys: 0.00 | Val: 1.9136 (51.61%) | Best: 55.46%
Epoch 030 | T: 21s | Train: 2.6907 (39.2%) | Phys: 0.00 | Val: 1.6992 (57.24%) | Best: 57.24%
Epoch 031 | T: 20s | Train: 2.6235 (40.7%) | Phys: 0.00 | Val: 1.6031 (57.78%) | Best: 57.78%
Epoch 032 | T: 21s | Train: 2.5992 (41.0%) | Phys: 0.00 | Val: 1.5890 (57.64%) | Best: 57.78%
Epoch 033 | T: 21s | Train: 2.6256 (40.6%) | Phys: 0.00 | Val: 1.7231 (53.95%) | Best: 57.78%
Epoch 034 | T: 21s | Train: 2.6200 (40.8%) | Phys: 0.00 | Val: 1.6919 (57.19%) | Best: 57.78%
Epoch 035 | T: 21s | Train: 2.6549 (40.0%) | Phys: 0.00 | Val: 1.7122 (55.20%) | Best: 57.78%
Epoch 036 | T: 20s | Train: 2.5751 (41.5%) | Phys: 0.00 | Val: 1.7269 (54.64%) | Best: 57.78%
Epoch 037 | T: 20s | Train: 2.5912 (41.5%) | Phys: 0.00 | Val: 1.7786 (54.74%) | Best: 57.78%
Epoch 038 | T: 20s | Train: 2.6396 (40.4%) | Phys: 0.00 | Val: 1.7039 (54.98%) | Best: 57.78%
Epoch 039 | T: 21s | Train: 2.5757 (41.5%) | Phys: 0.00 | Val: 1.5433 (58.70%) | Best: 58.70%
Epoch 040 | T: 21s | Train: 2.5763 (41.8%) | Phys: 0.00 | Val: 1.5847 (58.33%) | Best: 58.70%
Epoch 041 | T: 21s | Train: 2.6194 (40.8%) | Phys: 0.00 | Val: 1.6724 (56.05%) | Best: 58.70%
Epoch 042 | T: 21s | Train: 2.5513 (42.4%) | Phys: 0.00 | Val: 1.7278 (55.85%) | Best: 58.70%
Epoch 043 | T: 21s | Train: 2.5803 (41.8%) | Phys: 0.00 | Val: 1.5662 (58.41%) | Best: 58.70%
Epoch 044 | T: 21s | Train: 2.5287 (42.8%) | Phys: 0.00 | Val: 1.8598 (52.41%) | Best: 58.70%
Epoch 045 | T: 21s | Train: 2.5779 (41.5%) | Phys: 0.00 | Val: 1.8369 (52.68%) | Best: 58.70%
Epoch 046 | T: 21s | Train: 2.5698 (42.0%) | Phys: 0.00 | Val: 1.5340 (59.36%) | Best: 59.36%
Epoch 047 | T: 21s | Train: 2.6025 (41.3%) | Phys: 0.00 | Val: 1.5593 (59.02%) | Best: 59.36%
Epoch 048 | T: 20s | Train: 2.5371 (42.9%) | Phys: 0.00 | Val: 1.6936 (56.13%) | Best: 59.36%
Epoch 049 | T: 20s | Train: 2.5819 (41.7%) | Phys: 0.00 | Val: 1.6987 (57.07%) | Best: 59.36%
Epoch 050 | T: 21s | Train: 2.5642 (42.0%) | Phys: 0.00 | Val: 1.6960 (55.56%) | Best: 59.36%
Epoch 051 | T: 21s | Train: 2.5280 (42.9%) | Phys: 0.00 | Val: 1.5671 (58.65%) | Best: 59.36%
Epoch 052 | T: 21s | Train: 2.4979 (43.6%) | Phys: 0.00 | Val: 1.4991 (59.20%) | Best: 59.36%
Epoch 053 | T: 21s | Train: 2.5126 (43.1%) | Phys: 0.00 | Val: 1.7157 (55.11%) | Best: 59.36%
Epoch 054 | T: 21s | Train: 2.5639 (42.2%) | Phys: 0.00 | Val: 1.6456 (57.66%) | Best: 59.36%
Epoch 055 | T: 21s | Train: 2.5769 (41.9%) | Phys: 0.00 | Val: 1.6999 (55.11%) | Best: 59.36%
Epoch 056 | T: 21s | Train: 2.5719 (41.8%) | Phys: 0.00 | Val: 1.7580 (55.01%) | Best: 59.36%
Epoch 057 | T: 21s | Train: 2.5125 (43.1%) | Phys: 0.00 | Val: 1.6147 (57.94%) | Best: 59.36%
Epoch 058 | T: 21s | Train: 2.5141 (42.9%) | Phys: 0.00 | Val: 1.5450 (58.92%) | Best: 59.36%
Epoch 059 | T: 21s | Train: 2.5735 (42.1%) | Phys: 0.00 | Val: 1.5640 (57.94%) | Best: 59.36%
Epoch 060 | T: 20s | Train: 2.5085 (43.2%) | Phys: 0.00 | Val: 1.7110 (55.12%) | Best: 59.36%
Epoch 061 | T: 21s | Train: 2.4794 (43.9%) | Phys: 0.00 | Val: 1.5374 (59.83%) | Best: 59.83%
Epoch 062 | T: 21s | Train: 2.5158 (43.1%) | Phys: 0.00 | Val: 1.6512 (57.11%) | Best: 59.83%
