Epoch 001 | T: 32s | Train: 3.7465 (12.1%) | Phys: 0.00 | Val: 3.1157 (21.56%) | Best: 21.56%
Epoch 002 | T: 33s | Train: 3.0100 (24.6%) | Phys: 0.00 | Val: 2.5716 (32.91%) | Best: 32.91%
Epoch 003 | T: 32s | Train: 2.6590 (31.5%) | Phys: 0.00 | Val: 2.3396 (37.76%) | Best: 37.76%
Epoch 004 | T: 32s | Train: 2.4489 (35.8%) | Phys: 0.00 | Val: 2.1983 (41.36%) | Best: 41.36%
Epoch 005 | T: 32s | Train: 2.2879 (39.4%) | Phys: 0.00 | Val: 2.0520 (44.83%) | Best: 44.83%
Epoch 006 | T: 32s | Train: 2.1642 (41.9%) | Phys: 0.00 | Val: 1.9198 (48.67%) | Best: 48.67%
Epoch 007 | T: 32s | Train: 2.0607 (44.4%) | Phys: 0.00 | Val: 1.8960 (48.60%) | Best: 48.67%
Epoch 008 | T: 31s | Train: 1.9838 (46.0%) | Phys: 0.00 | Val: 1.7977 (50.91%) | Best: 50.91%
Epoch 009 | T: 32s | Train: 1.9270 (47.7%) | Phys: 0.00 | Val: 1.7808 (51.61%) | Best: 51.61%
Epoch 010 | T: 31s | Train: 1.8699 (48.6%) | Phys: 0.00 | Val: 1.7778 (51.61%) | Best: 51.61%
Epoch 011 | T: 32s | Train: 1.8138 (50.0%) | Phys: 0.00 | Val: 1.7661 (52.67%) | Best: 52.67%
Epoch 012 | T: 32s | Train: 1.7730 (51.1%) | Phys: 0.00 | Val: 1.7146 (53.89%) | Best: 53.89%
Epoch 013 | T: 32s | Train: 1.7187 (52.4%) | Phys: 0.00 | Val: 1.7010 (54.21%) | Best: 54.21%
Epoch 014 | T: 32s | Train: 1.6936 (52.9%) | Phys: 0.00 | Val: 1.6492 (55.26%) | Best: 55.26%
Epoch 015 | T: 32s | Train: 1.6531 (53.9%) | Phys: 0.00 | Val: 1.6718 (55.34%) | Best: 55.34%
Epoch 016 | T: 31s | Train: 1.6285 (54.5%) | Phys: 0.00 | Val: 1.6781 (55.79%) | Best: 55.79%
Epoch 017 | T: 32s | Train: 1.5969 (55.2%) | Phys: 0.00 | Val: 1.6783 (55.37%) | Best: 55.79%
Epoch 018 | T: 31s | Train: 1.5661 (56.0%) | Phys: 0.00 | Val: 1.6369 (56.89%) | Best: 56.89%
Epoch 019 | T: 32s | Train: 1.5402 (56.8%) | Phys: 0.00 | Val: 1.6319 (56.91%) | Best: 56.91%
Epoch 020 | T: 32s | Train: 1.5171 (57.4%) | Phys: 0.00 | Val: 1.6067 (57.57%) | Best: 57.57%
Epoch 021 | T: 32s | Train: 1.4944 (57.6%) | Phys: 0.00 | Val: 1.6938 (56.11%) | Best: 57.57%
Epoch 022 | T: 32s | Train: 1.4723 (58.3%) | Phys: 0.00 | Val: 1.6029 (58.16%) | Best: 58.16%
Epoch 023 | T: 32s | Train: 1.4637 (58.5%) | Phys: 0.00 | Val: 1.6399 (57.28%) | Best: 58.16%
Epoch 024 | T: 32s | Train: 1.4428 (59.1%) | Phys: 0.00 | Val: 1.6334 (57.87%) | Best: 58.16%
Epoch 025 | T: 32s | Train: 1.4219 (59.9%) | Phys: 0.00 | Val: 1.6626 (57.37%) | Best: 58.16%
Epoch 026 | T: 32s | Train: 1.4248 (59.7%) | Phys: 0.00 | Val: 1.5908 (58.01%) | Best: 58.16%
Epoch 027 | T: 32s | Train: 1.4011 (60.1%) | Phys: 0.00 | Val: 1.6134 (58.44%) | Best: 58.44%
Epoch 028 | T: 32s | Train: 1.3812 (60.6%) | Phys: 0.00 | Val: 1.6005 (58.06%) | Best: 58.44%
Epoch 029 | T: 32s | Train: 1.3647 (61.0%) | Phys: 0.00 | Val: 1.6379 (57.91%) | Best: 58.44%
Epoch 030 | T: 32s | Train: 1.3541 (61.0%) | Phys: 0.00 | Val: 1.6271 (58.70%) | Best: 58.70%
Epoch 031 | T: 31s | Train: 1.3455 (61.6%) | Phys: 0.00 | Val: 1.6518 (58.28%) | Best: 58.70%
Epoch 032 | T: 32s | Train: 1.3251 (62.0%) | Phys: 0.00 | Val: 1.6347 (58.50%) | Best: 58.70%
Epoch 033 | T: 32s | Train: 1.3286 (61.9%) | Phys: 0.00 | Val: 1.7003 (57.11%) | Best: 58.70%
Epoch 034 | T: 32s | Train: 1.3086 (62.5%) | Phys: 0.00 | Val: 1.6719 (57.70%) | Best: 58.70%
Epoch 035 | T: 32s | Train: 1.3013 (62.7%) | Phys: 0.00 | Val: 1.6628 (58.47%) | Best: 58.70%
Epoch 036 | T: 32s | Train: 1.3023 (62.4%) | Phys: 0.00 | Val: 1.7120 (57.50%) | Best: 58.70%
Epoch 037 | T: 32s | Train: 1.2836 (63.0%) | Phys: 0.00 | Val: 1.6788 (58.13%) | Best: 58.70%
Epoch 038 | T: 31s | Train: 1.2886 (62.9%) | Phys: 0.00 | Val: 1.6608 (58.08%) | Best: 58.70%
Epoch 039 | T: 32s | Train: 1.2757 (63.0%) | Phys: 0.00 | Val: 1.6914 (57.75%) | Best: 58.70%
Epoch 040 | T: 32s | Train: 1.2726 (63.1%) | Phys: 0.00 | Val: 1.6568 (58.50%) | Best: 58.70%
Epoch 041 | T: 32s | Train: 1.2508 (63.7%) | Phys: 0.00 | Val: 1.7090 (57.26%) | Best: 58.70%
Epoch 042 | T: 31s | Train: 1.2530 (63.6%) | Phys: 0.00 | Val: 1.7462 (57.34%) | Best: 58.70%
Epoch 043 | T: 32s | Train: 1.2419 (64.0%) | Phys: 0.00 | Val: 1.6905 (58.32%) | Best: 58.70%
Epoch 044 | T: 32s | Train: 1.2194 (64.8%) | Phys: 0.00 | Val: 1.7300 (57.47%) | Best: 58.70%
Epoch 045 | T: 31s | Train: 1.2285 (64.4%) | Phys: 0.00 | Val: 1.7840 (57.25%) | Best: 58.70%
Epoch 046 | T: 32s | Train: 1.2298 (64.1%) | Phys: 0.00 | Val: 1.7355 (57.54%) | Best: 58.70%
Epoch 047 | T: 32s | Train: 1.2150 (64.7%) | Phys: 0.00 | Val: 1.7953 (58.09%) | Best: 58.70%
Epoch 048 | T: 32s | Train: 1.2176 (64.4%) | Phys: 0.00 | Val: 1.7298 (58.64%) | Best: 58.70%
Epoch 049 | T: 32s | Train: 1.2066 (64.8%) | Phys: 0.00 | Val: 1.7567 (57.52%) | Best: 58.70%
Epoch 050 | T: 32s | Train: 1.1974 (65.2%) | Phys: 0.00 | Val: 1.7056 (58.77%) | Best: 58.77%
Epoch 051 | T: 32s | Train: 1.2005 (65.3%) | Phys: 0.00 | Val: 1.8211 (56.50%) | Best: 58.77%
Epoch 052 | T: 32s | Train: 1.2003 (65.2%) | Phys: 0.00 | Val: 1.8091 (57.92%) | Best: 58.77%
Epoch 053 | T: 32s | Train: 1.1849 (65.3%) | Phys: 0.00 | Val: 1.7983 (57.50%) | Best: 58.77%
Epoch 054 | T: 32s | Train: 1.2127 (64.9%) | Phys: 0.00 | Val: 1.8266 (57.62%) | Best: 58.77%
