Epoch 001 | T: 32s | Train: 4.1993 (6.4%) | Phys: 0.00 | Val: 3.5033 (15.60%) | Best: 15.60%
Epoch 002 | T: 33s | Train: 3.8953 (11.6%) | Phys: 0.00 | Val: 3.2031 (22.05%) | Best: 22.05%
Epoch 003 | T: 32s | Train: 3.7161 (15.1%) | Phys: 0.00 | Val: 2.9689 (26.44%) | Best: 26.44%
Epoch 004 | T: 32s | Train: 3.6392 (16.8%) | Phys: 0.00 | Val: 2.7058 (31.45%) | Best: 31.45%
Epoch 005 | T: 32s | Train: 3.5668 (18.6%) | Phys: 0.00 | Val: 2.6235 (33.11%) | Best: 33.11%
Epoch 006 | T: 32s | Train: 3.5040 (19.7%) | Phys: 0.00 | Val: 2.5048 (35.83%) | Best: 35.83%
Epoch 007 | T: 32s | Train: 3.4960 (20.2%) | Phys: 0.00 | Val: 2.3906 (37.98%) | Best: 37.98%
Epoch 008 | T: 32s | Train: 3.4668 (20.6%) | Phys: 0.00 | Val: 2.3052 (40.19%) | Best: 40.19%
Epoch 009 | T: 32s | Train: 3.4235 (21.8%) | Phys: 0.00 | Val: 2.2893 (40.87%) | Best: 40.87%
Epoch 010 | T: 33s | Train: 3.3779 (22.7%) | Phys: 0.00 | Val: 2.3864 (39.11%) | Best: 40.87%
Epoch 011 | T: 32s | Train: 3.3313 (23.9%) | Phys: 0.00 | Val: 2.2633 (41.31%) | Best: 41.31%
Epoch 012 | T: 32s | Train: 3.3420 (23.6%) | Phys: 0.00 | Val: 2.1553 (44.45%) | Best: 44.45%
Epoch 013 | T: 32s | Train: 3.3496 (23.6%) | Phys: 0.00 | Val: 2.2080 (42.91%) | Best: 44.45%
Epoch 014 | T: 32s | Train: 3.2790 (24.8%) | Phys: 0.00 | Val: 2.1228 (44.59%) | Best: 44.59%
Epoch 015 | T: 32s | Train: 3.3108 (24.1%) | Phys: 0.00 | Val: 2.1408 (43.91%) | Best: 44.59%
Epoch 016 | T: 32s | Train: 3.2799 (24.9%) | Phys: 0.00 | Val: 2.0584 (46.22%) | Best: 46.22%
Epoch 017 | T: 32s | Train: 3.2679 (25.3%) | Phys: 0.00 | Val: 2.1274 (44.34%) | Best: 46.22%
Epoch 018 | T: 32s | Train: 3.2433 (25.7%) | Phys: 0.00 | Val: 2.1058 (45.57%) | Best: 46.22%
Epoch 019 | T: 32s | Train: 3.2257 (26.0%) | Phys: 0.00 | Val: 1.9854 (47.51%) | Best: 47.51%
Epoch 020 | T: 32s | Train: 3.2257 (26.5%) | Phys: 0.00 | Val: 2.0164 (46.88%) | Best: 47.51%
Epoch 021 | T: 32s | Train: 3.2130 (26.6%) | Phys: 0.00 | Val: 2.0315 (47.54%) | Best: 47.54%
Epoch 022 | T: 32s | Train: 3.1887 (26.9%) | Phys: 0.00 | Val: 2.0080 (47.36%) | Best: 47.54%
Epoch 023 | T: 32s | Train: 3.1446 (27.9%) | Phys: 0.00 | Val: 1.9485 (48.53%) | Best: 48.53%
Epoch 024 | T: 32s | Train: 3.2384 (26.3%) | Phys: 0.00 | Val: 2.0486 (46.89%) | Best: 48.53%
Epoch 025 | T: 32s | Train: 3.1860 (27.2%) | Phys: 0.00 | Val: 2.0059 (47.55%) | Best: 48.53%
Epoch 026 | T: 32s | Train: 3.2195 (26.8%) | Phys: 0.00 | Val: 1.9749 (47.98%) | Best: 48.53%
