Epoch 001 | T: 24s | Train: 4.1045 (6.2%) | Phys: 0.33 | Val: 3.8463 (9.46%) | Best: 9.46%
Epoch 002 | T: 24s | Train: 3.6934 (11.9%) | Phys: 0.30 | Val: 3.6326 (13.16%) | Best: 13.16%
Epoch 003 | T: 23s | Train: 3.4268 (16.4%) | Phys: 0.31 | Val: 3.3274 (19.05%) | Best: 19.05%
Epoch 004 | T: 23s | Train: 3.1902 (21.0%) | Phys: 0.33 | Val: 3.0968 (23.56%) | Best: 23.56%
Epoch 005 | T: 23s | Train: 2.9895 (24.8%) | Phys: 0.35 | Val: 2.9821 (25.15%) | Best: 25.15%
Epoch 006 | T: 23s | Train: 2.7973 (28.3%) | Phys: 0.37 | Val: 2.8732 (28.24%) | Best: 28.24%
Epoch 007 | T: 23s | Train: 2.6314 (31.9%) | Phys: 0.38 | Val: 2.6617 (32.95%) | Best: 32.95%
Epoch 008 | T: 23s | Train: 2.4684 (35.1%) | Phys: 0.40 | Val: 2.5690 (34.12%) | Best: 34.12%
Epoch 009 | T: 23s | Train: 2.3214 (38.2%) | Phys: 0.42 | Val: 2.4296 (37.20%) | Best: 37.20%
Epoch 010 | T: 23s | Train: 2.1725 (41.6%) | Phys: 0.43 | Val: 2.3173 (39.97%) | Best: 39.97%
Epoch 011 | T: 23s | Train: 2.0353 (44.6%) | Phys: 0.44 | Val: 2.2375 (41.89%) | Best: 41.89%
Epoch 012 | T: 23s | Train: 1.9430 (46.7%) | Phys: 0.44 | Val: 2.2197 (42.09%) | Best: 42.09%
Epoch 013 | T: 23s | Train: 1.8398 (49.1%) | Phys: 0.45 | Val: 2.1422 (43.89%) | Best: 43.89%
Epoch 014 | T: 23s | Train: 1.7635 (50.8%) | Phys: 0.45 | Val: 2.1662 (43.04%) | Best: 43.89%
Epoch 015 | T: 23s | Train: 1.6837 (53.1%) | Phys: 0.46 | Val: 2.0468 (47.07%) | Best: 47.07%
Epoch 016 | T: 23s | Train: 1.6193 (54.4%) | Phys: 0.46 | Val: 2.0262 (47.29%) | Best: 47.29%
Epoch 017 | T: 23s | Train: 1.5681 (55.6%) | Phys: 0.46 | Val: 1.9015 (49.19%) | Best: 49.19%
Epoch 018 | T: 23s | Train: 1.5067 (57.2%) | Phys: 0.47 | Val: 1.9672 (48.95%) | Best: 49.19%
Epoch 019 | T: 23s | Train: 1.4692 (58.0%) | Phys: 0.47 | Val: 1.8635 (49.92%) | Best: 49.92%
Epoch 020 | T: 23s | Train: 1.4309 (59.0%) | Phys: 0.47 | Val: 2.0368 (47.97%) | Best: 49.92%
Epoch 021 | T: 23s | Train: 1.3951 (59.9%) | Phys: 0.48 | Val: 1.8329 (50.96%) | Best: 50.96%
Epoch 022 | T: 23s | Train: 1.3695 (60.7%) | Phys: 0.48 | Val: 2.0756 (47.70%) | Best: 50.96%
