Epoch 001 | T: 33s | Train: 3.8184 (11.5%) | Phys: 0.12 | Val: 3.1419 (22.42%) | Best: 22.42%
Epoch 002 | T: 32s | Train: 3.1043 (23.0%) | Phys: 0.09 | Val: 2.7654 (30.32%) | Best: 30.32%
Epoch 003 | T: 32s | Train: 2.8056 (28.7%) | Phys: 0.10 | Val: 2.6265 (32.95%) | Best: 32.95%
Epoch 004 | T: 32s | Train: 2.6376 (32.6%) | Phys: 0.10 | Val: 2.4432 (36.94%) | Best: 36.94%
Epoch 005 | T: 33s | Train: 2.5237 (34.7%) | Phys: 0.11 | Val: 2.3912 (37.67%) | Best: 37.67%
Epoch 006 | T: 32s | Train: 2.4397 (36.4%) | Phys: 0.11 | Val: 2.2719 (40.40%) | Best: 40.40%
Epoch 007 | T: 32s | Train: 2.3604 (38.4%) | Phys: 0.12 | Val: 2.2435 (41.76%) | Best: 41.76%
Epoch 008 | T: 32s | Train: 2.2976 (39.7%) | Phys: 0.12 | Val: 2.1859 (42.75%) | Best: 42.75%
Epoch 009 | T: 32s | Train: 2.2343 (41.1%) | Phys: 0.12 | Val: 2.1696 (43.14%) | Best: 43.14%
Epoch 010 | T: 32s | Train: 2.1616 (42.9%) | Phys: 0.13 | Val: 2.1620 (43.65%) | Best: 43.65%
Epoch 011 | T: 32s | Train: 2.1188 (43.2%) | Phys: 0.13 | Val: 2.1169 (44.63%) | Best: 44.63%
Epoch 012 | T: 32s | Train: 2.0624 (45.0%) | Phys: 0.13 | Val: 2.0494 (45.57%) | Best: 45.57%
Epoch 013 | T: 33s | Train: 2.0181 (45.9%) | Phys: 0.13 | Val: 2.0677 (45.70%) | Best: 45.70%
Epoch 014 | T: 32s | Train: 1.9557 (47.4%) | Phys: 0.13 | Val: 2.0325 (46.70%) | Best: 46.70%
Epoch 015 | T: 32s | Train: 1.9049 (48.2%) | Phys: 0.13 | Val: 1.9407 (48.44%) | Best: 48.44%
Epoch 016 | T: 34s | Train: 1.8596 (49.4%) | Phys: 0.12 | Val: 1.9587 (48.24%) | Best: 48.44%
Epoch 017 | T: 33s | Train: 1.8121 (50.6%) | Phys: 0.12 | Val: 1.9714 (48.35%) | Best: 48.44%
Epoch 018 | T: 32s | Train: 1.7685 (51.7%) | Phys: 0.12 | Val: 1.9025 (49.13%) | Best: 49.13%
