Epoch 001 | T: 33s | Train: 4.2459 (5.9%) | Phys: 0.11 | Val: 3.5803 (14.91%) | Best: 14.91%
Epoch 002 | T: 33s | Train: 3.9441 (11.0%) | Phys: 0.07 | Val: 3.2199 (21.60%) | Best: 21.60%
Epoch 003 | T: 33s | Train: 3.8214 (13.2%) | Phys: 0.07 | Val: 3.0237 (25.99%) | Best: 25.99%
Epoch 004 | T: 32s | Train: 3.7436 (14.9%) | Phys: 0.08 | Val: 2.9112 (27.78%) | Best: 27.78%
Epoch 005 | T: 33s | Train: 3.6465 (16.8%) | Phys: 0.08 | Val: 2.8367 (30.08%) | Best: 30.08%
Epoch 006 | T: 33s | Train: 3.5906 (18.3%) | Phys: 0.08 | Val: 2.8327 (30.65%) | Best: 30.65%
Epoch 007 | T: 32s | Train: 3.5808 (18.3%) | Phys: 0.08 | Val: 2.6313 (33.50%) | Best: 33.50%
Epoch 008 | T: 32s | Train: 3.5378 (19.2%) | Phys: 0.08 | Val: 2.6326 (33.45%) | Best: 33.50%
Epoch 009 | T: 33s | Train: 3.4923 (20.3%) | Phys: 0.08 | Val: 2.5315 (35.07%) | Best: 35.07%
Epoch 010 | T: 33s | Train: 3.4839 (20.4%) | Phys: 0.09 | Val: 2.5253 (36.09%) | Best: 36.09%
Epoch 011 | T: 32s | Train: 3.4502 (21.2%) | Phys: 0.08 | Val: 2.5213 (36.60%) | Best: 36.60%
Epoch 012 | T: 32s | Train: 3.3847 (22.6%) | Phys: 0.09 | Val: 2.4735 (37.20%) | Best: 37.20%
Epoch 013 | T: 32s | Train: 3.3933 (22.7%) | Phys: 0.09 | Val: 2.4278 (38.46%) | Best: 38.46%
Epoch 014 | T: 32s | Train: 3.3914 (22.7%) | Phys: 0.08 | Val: 2.3583 (39.01%) | Best: 39.01%
Epoch 015 | T: 33s | Train: 3.3542 (23.3%) | Phys: 0.08 | Val: 2.3186 (41.01%) | Best: 41.01%
Epoch 016 | T: 33s | Train: 3.3152 (24.3%) | Phys: 0.08 | Val: 2.2522 (41.83%) | Best: 41.83%
Epoch 017 | T: 33s | Train: 3.3316 (24.1%) | Phys: 0.08 | Val: 2.3827 (39.51%) | Best: 41.83%
Epoch 018 | T: 33s | Train: 3.2982 (24.8%) | Phys: 0.08 | Val: 2.2450 (43.15%) | Best: 43.15%
Epoch 019 | T: 32s | Train: 3.2173 (26.6%) | Phys: 0.08 | Val: 2.2247 (43.45%) | Best: 43.45%
Epoch 020 | T: 33s | Train: 3.2262 (26.5%) | Phys: 0.08 | Val: 2.2019 (43.74%) | Best: 43.74%
Epoch 021 | T: 33s | Train: 3.2100 (26.6%) | Phys: 0.08 | Val: 2.1275 (45.70%) | Best: 45.70%
Epoch 022 | T: 32s | Train: 3.1425 (28.0%) | Phys: 0.08 | Val: 1.9978 (47.48%) | Best: 47.48%
Epoch 023 | T: 32s | Train: 3.1542 (27.9%) | Phys: 0.07 | Val: 2.0551 (46.32%) | Best: 47.48%
Epoch 024 | T: 32s | Train: 3.1165 (28.8%) | Phys: 0.07 | Val: 2.0412 (47.09%) | Best: 47.48%
Epoch 025 | T: 32s | Train: 3.1350 (28.5%) | Phys: 0.07 | Val: 2.0257 (48.46%) | Best: 48.46%
Epoch 026 | T: 33s | Train: 3.0706 (30.2%) | Phys: 0.07 | Val: 1.9772 (50.00%) | Best: 50.00%
Epoch 027 | T: 32s | Train: 3.0885 (29.3%) | Phys: 0.07 | Val: 1.9452 (49.94%) | Best: 50.00%
Epoch 028 | T: 33s | Train: 3.0861 (30.1%) | Phys: 0.07 | Val: 1.9385 (50.16%) | Best: 50.16%
Epoch 029 | T: 33s | Train: 2.9870 (32.1%) | Phys: 0.07 | Val: 1.9032 (50.34%) | Best: 50.34%
Epoch 030 | T: 32s | Train: 2.9761 (32.4%) | Phys: 0.07 | Val: 1.8981 (50.95%) | Best: 50.95%
Epoch 031 | T: 32s | Train: 2.9544 (32.9%) | Phys: 0.07 | Val: 1.8663 (51.91%) | Best: 51.91%
Epoch 032 | T: 32s | Train: 2.9805 (32.0%) | Phys: 0.07 | Val: 1.8511 (52.24%) | Best: 52.24%
Epoch 033 | T: 32s | Train: 2.9289 (33.6%) | Phys: 0.07 | Val: 1.7798 (53.40%) | Best: 53.40%
Epoch 034 | T: 32s | Train: 2.9515 (33.1%) | Phys: 0.07 | Val: 1.8431 (53.07%) | Best: 53.40%
Epoch 035 | T: 32s | Train: 2.9082 (34.3%) | Phys: 0.07 | Val: 1.8049 (54.27%) | Best: 54.27%
Epoch 036 | T: 32s | Train: 2.8382 (35.5%) | Phys: 0.06 | Val: 1.7512 (54.12%) | Best: 54.27%
Epoch 037 | T: 32s | Train: 2.8800 (34.8%) | Phys: 0.06 | Val: 1.7329 (54.89%) | Best: 54.89%
Epoch 038 | T: 32s | Train: 2.8956 (34.3%) | Phys: 0.06 | Val: 1.7378 (54.87%) | Best: 54.89%
Epoch 039 | T: 32s | Train: 2.8510 (35.4%) | Phys: 0.06 | Val: 1.7237 (55.34%) | Best: 55.34%
Epoch 040 | T: 32s | Train: 2.9057 (34.2%) | Phys: 0.06 | Val: 1.6629 (56.27%) | Best: 56.27%
Epoch 041 | T: 32s | Train: 2.7936 (36.6%) | Phys: 0.06 | Val: 1.6892 (56.09%) | Best: 56.27%
Epoch 042 | T: 32s | Train: 2.8686 (35.5%) | Phys: 0.06 | Val: 1.6782 (56.07%) | Best: 56.27%
Epoch 043 | T: 32s | Train: 2.8634 (35.1%) | Phys: 0.06 | Val: 1.6981 (56.86%) | Best: 56.86%
Epoch 044 | T: 32s | Train: 2.8084 (36.4%) | Phys: 0.06 | Val: 1.7246 (55.47%) | Best: 56.86%
Epoch 045 | T: 33s | Train: 2.7850 (37.1%) | Phys: 0.06 | Val: 1.6323 (57.73%) | Best: 57.73%
Epoch 046 | T: 32s | Train: 2.7596 (37.7%) | Phys: 0.06 | Val: 1.6674 (57.77%) | Best: 57.77%
Epoch 047 | T: 32s | Train: 2.7432 (38.4%) | Phys: 0.06 | Val: 1.5981 (57.78%) | Best: 57.78%
Epoch 048 | T: 32s | Train: 2.7379 (38.3%) | Phys: 0.06 | Val: 1.6748 (57.21%) | Best: 57.78%
