Epoch 001 | T: 26s | Train: 3.9121 (5.0%) | Phys: 0.76 | Val: 3.8086 (12.01%) | Best: 12.01%
Epoch 002 | T: 27s | Train: 3.7374 (8.1%) | Phys: 0.71 | Val: 3.6631 (14.12%) | Best: 14.12%
Epoch 003 | T: 26s | Train: 3.6968 (8.9%) | Phys: 0.69 | Val: 3.5342 (17.37%) | Best: 17.37%
Epoch 004 | T: 26s | Train: 3.6462 (10.1%) | Phys: 0.67 | Val: 3.4398 (18.40%) | Best: 18.40%
Epoch 005 | T: 27s | Train: 3.5831 (11.3%) | Phys: 0.66 | Val: 3.2830 (21.16%) | Best: 21.16%
Epoch 006 | T: 26s | Train: 3.5562 (11.8%) | Phys: 0.65 | Val: 3.1995 (23.54%) | Best: 23.54%
Epoch 007 | T: 27s | Train: 3.5001 (12.9%) | Phys: 0.65 | Val: 3.1864 (24.64%) | Best: 24.64%
Epoch 008 | T: 26s | Train: 3.4395 (14.4%) | Phys: 0.64 | Val: 3.0603 (25.76%) | Best: 25.76%
Epoch 009 | T: 27s | Train: 3.3989 (15.1%) | Phys: 0.64 | Val: 2.9065 (28.95%) | Best: 28.95%
Epoch 010 | T: 26s | Train: 3.3702 (15.9%) | Phys: 0.63 | Val: 2.8792 (29.88%) | Best: 29.88%
Epoch 011 | T: 26s | Train: 3.3343 (16.8%) | Phys: 0.63 | Val: 2.7996 (30.78%) | Best: 30.78%
Epoch 012 | T: 26s | Train: 3.3169 (16.9%) | Phys: 0.63 | Val: 2.7197 (33.24%) | Best: 33.24%
Epoch 013 | T: 26s | Train: 3.2861 (17.6%) | Phys: 0.62 | Val: 2.6741 (32.91%) | Best: 33.24%
Epoch 014 | T: 26s | Train: 3.2552 (18.5%) | Phys: 0.62 | Val: 2.5931 (35.06%) | Best: 35.06%
Epoch 015 | T: 26s | Train: 3.2185 (19.4%) | Phys: 0.62 | Val: 2.5233 (36.69%) | Best: 36.69%
Epoch 016 | T: 26s | Train: 3.1826 (20.0%) | Phys: 0.62 | Val: 2.4582 (38.54%) | Best: 38.54%
Epoch 017 | T: 26s | Train: 3.1550 (20.6%) | Phys: 0.62 | Val: 2.4766 (38.68%) | Best: 38.68%
Epoch 018 | T: 26s | Train: 3.0937 (22.2%) | Phys: 0.61 | Val: 2.4037 (39.91%) | Best: 39.91%
Epoch 019 | T: 26s | Train: 3.0777 (22.7%) | Phys: 0.61 | Val: 2.3424 (40.81%) | Best: 40.81%
Epoch 020 | T: 26s | Train: 3.0835 (22.7%) | Phys: 0.61 | Val: 2.3077 (41.38%) | Best: 41.38%
Epoch 021 | T: 26s | Train: 3.0206 (23.9%) | Phys: 0.61 | Val: 2.2627 (42.73%) | Best: 42.73%
Epoch 022 | T: 26s | Train: 3.0107 (24.3%) | Phys: 0.61 | Val: 2.2569 (42.96%) | Best: 42.96%
Epoch 023 | T: 26s | Train: 2.9949 (24.9%) | Phys: 0.61 | Val: 2.2042 (43.64%) | Best: 43.64%
Epoch 024 | T: 26s | Train: 2.9880 (25.1%) | Phys: 0.61 | Val: 2.1546 (44.72%) | Best: 44.72%
Epoch 025 | T: 26s | Train: 2.9338 (26.2%) | Phys: 0.61 | Val: 2.1977 (44.48%) | Best: 44.72%
Epoch 026 | T: 26s | Train: 2.9447 (26.1%) | Phys: 0.61 | Val: 2.1085 (46.09%) | Best: 46.09%
Epoch 027 | T: 26s | Train: 2.9709 (25.5%) | Phys: 0.60 | Val: 2.1444 (44.89%) | Best: 46.09%
Epoch 028 | T: 26s | Train: 2.9177 (26.8%) | Phys: 0.60 | Val: 2.0980 (46.83%) | Best: 46.83%
Epoch 029 | T: 26s | Train: 2.9225 (26.5%) | Phys: 0.60 | Val: 2.0609 (47.09%) | Best: 47.09%
Epoch 030 | T: 26s | Train: 2.9170 (26.8%) | Phys: 0.60 | Val: 2.0647 (46.89%) | Best: 47.09%
Epoch 031 | T: 27s | Train: 2.8357 (28.8%) | Phys: 0.60 | Val: 2.0737 (47.97%) | Best: 47.97%
Epoch 032 | T: 26s | Train: 2.8279 (28.6%) | Phys: 0.60 | Val: 2.0484 (47.34%) | Best: 47.97%
Epoch 033 | T: 26s | Train: 2.8499 (28.6%) | Phys: 0.60 | Val: 1.9962 (48.83%) | Best: 48.83%
Epoch 034 | T: 26s | Train: 2.8411 (28.9%) | Phys: 0.60 | Val: 2.0208 (48.28%) | Best: 48.83%
