Epoch 1 | T: 25s | Train: 4.0297 (3.3%) | Phys: 0.00 | Val: 4.0361 (6.97%) | Best: 6.97%
Epoch 2 | T: 25s | Train: 3.8663 (5.3%) | Phys: 0.00 | Val: 3.9067 (10.93%) | Best: 10.93%
Epoch 3 | T: 25s | Train: 3.7919 (6.7%) | Phys: 0.00 | Val: 3.7084 (13.56%) | Best: 13.56%
Epoch 4 | T: 25s | Train: 3.7467 (7.7%) | Phys: 0.00 | Val: 3.5948 (15.96%) | Best: 15.96%
Epoch 5 | T: 25s | Train: 3.7000 (8.6%) | Phys: 0.00 | Val: 3.4576 (17.38%) | Best: 17.38%
Epoch 6 | T: 25s | Train: 3.6431 (9.6%) | Phys: 0.00 | Val: 3.3769 (18.93%) | Best: 18.93%
Epoch 7 | T: 25s | Train: 3.6302 (9.9%) | Phys: 0.00 | Val: 3.3414 (20.58%) | Best: 20.58%
Epoch 8 | T: 25s | Train: 3.5988 (10.6%) | Phys: 0.00 | Val: 3.2972 (21.35%) | Best: 21.35%
Epoch 9 | T: 25s | Train: 3.5690 (11.4%) | Phys: 0.00 | Val: 3.1463 (22.97%) | Best: 22.97%
Epoch 10 | T: 25s | Train: 3.5645 (11.4%) | Phys: 0.00 | Val: 3.2044 (22.83%) | Best: 22.97%
Epoch 11 | T: 25s | Train: 3.5007 (12.6%) | Phys: 0.00 | Val: 3.0743 (25.29%) | Best: 25.29%
Epoch 12 | T: 25s | Train: 3.5121 (12.5%) | Phys: 0.00 | Val: 3.0847 (25.11%) | Best: 25.29%
Epoch 13 | T: 25s | Train: 3.4640 (13.4%) | Phys: 0.00 | Val: 3.0705 (25.74%) | Best: 25.74%
Epoch 14 | T: 25s | Train: 3.4743 (13.5%) | Phys: 0.00 | Val: 3.1150 (25.18%) | Best: 25.74%
Epoch 15 | T: 25s | Train: 3.4606 (13.6%) | Phys: 0.00 | Val: 3.0316 (27.49%) | Best: 27.49%
Epoch 16 | T: 25s | Train: 3.4239 (14.5%) | Phys: 0.00 | Val: 2.9253 (29.53%) | Best: 29.53%
Epoch 17 | T: 25s | Train: 3.3945 (14.9%) | Phys: 0.00 | Val: 2.8615 (30.23%) | Best: 30.23%
Epoch 18 | T: 26s | Train: 3.4003 (15.0%) | Phys: 0.00 | Val: 2.8038 (30.63%) | Best: 30.63%
Epoch 19 | T: 25s | Train: 3.3591 (15.9%) | Phys: 0.00 | Val: 2.7990 (31.94%) | Best: 31.94%
Epoch 20 | T: 25s | Train: 3.3585 (15.9%) | Phys: 0.00 | Val: 2.7590 (31.88%) | Best: 31.94%
Epoch 21 | T: 25s | Train: 3.3306 (16.5%) | Phys: 0.00 | Val: 2.7546 (32.33%) | Best: 32.33%
